Case ID,Case Type,Parties Involved,Case Title,Filing Date,Case Status,Case Location,Hearing 1 date,Hearing 2 date,Hearing 3 date,Assigned Judge,Case Type Priority,Case Age,Scheduled Hearings,Overall Priority,Predicted Priority
1644,Cyber Crime,Benjamin,Cyber Crime Case - Benjamin,02.12.21,Pending,Indianapolis,26.07.23,15.07.24,,Kenneth Baker,3,9,0.5,12.5,12.499999999999988
1314,Major Thefts,Wayne,Major Thefts Case - Wayne,26.11.21,Pending,Oklahoma City,21.04.23,22.04.23,29.07.23,Jeremy Burnett,9,3,1.0,13.0,12.999999999999996
415,Civil Rights,John,Civil Rights Case - John,02.12.21,Pending,New York,22.09.22,,,Darius Strickland,5,9,0.0,14.0,13.999999999999988
887,Counterintelligence,Autumn,Counterintelligence Case - Autumn,05.12.21,Pending,Charlotte,02.07.24,26.12.24,,Tammie Ortega,2,12,0.5,14.5,14.499999999999982
1801,Organized Crime,David,Organized Crime Case - David,01.12.21,Pending,Chicago,16.02.24,17.08.24,,Michael Ryan,6,8,0.5,14.5,14.49999999999999
1535,Public Corruption,Antonio,Public Corruption Case - Antonio,03.12.21,Pending,San Francisco,05.12.23,14.05.24,31.07.24,Shaun Willis,4,10,1.0,15.0,14.999999999999988
1948,Organized Crime,Richard,Organized Crime Case - Richard,02.12.21,Pending,Portland,27.03.22,,,Michael Brooks,6,9,0.0,15.0,14.99999999999999
1850,Violent Crimes,Alfred,Violent Crimes Case - Alfred,29.11.21,Pending,Los Angeles,27.02.22,26.10.22,21.04.23,George Landry,8,6,1.0,15.0,14.999999999999993
447,Immigration Law Cases,Crystal,Immigration Law Cases Case - Crystal,24.11.21,Pending,Phoenix,16.09.23,21.05.24,07.06.24,Heather Howell,13,1,1.0,15.0,15.0
123,Public Corruption,Joshua,Public Corruption Case - Joshua,04.12.21,Pending,Columbus,30.07.22,13.10.22,03.02.23,Amy Bell,4,11,1.0,16.0,15.999999999999986
726,White-Collar Crime,Megan,White-Collar Crime Case - Megan,01.12.21,Pending,Louisville,25.03.23,04.04.23,24.09.23,Elizabeth Rogers,7,8,1.0,16.0,15.999999999999991
2440,Securities Fraud,Roy,Securities Fraud Case - Roy,24.11.21,Pending,Fort Worth,03.10.24,27.02.25,26.05.25,Rebecca Phillips,14,1,1.0,16.0,16.0
2146,Public Corruption,Kristen,Public Corruption Case - Kristen,05.12.21,Pending,Milwaukee,07.02.22,17.12.22,,Jennifer Sanchez,4,12,0.5,16.5,16.499999999999982
146,Cyber Crime,Jeffrey,Cyber Crime Case - Jeffrey,06.12.21,Pending,Nashville,12.08.23,30.10.23,10.01.24,Henry Keith,3,13,1.0,17.0,16.999999999999982
1920,Civil Rights,Heather,Civil Rights Case - Heather,05.12.21,Pending,Houston,21.04.24,,,Henry Keith,5,12,0.0,17.0,16.999999999999982
1963,Employment Law Disputes,Emily,Employment Law Disputes Case - Emily,28.11.21,Pending,San Antonio,21.03.24,07.09.24,,Travis Mack,12,5,0.5,17.5,17.499999999999996
986,Cyber Crime,Tina,Cyber Crime Case - Tina,09.12.21,Pending,Louisville,05.04.23,,,Travis Mack,3,16,0.0,19.0,18.99999999999998
2984,Civil Rights,Norma,Civil Rights Case - Norma,07.12.21,Pending,Nashville,07.04.22,,,Frank Huerta,5,14,0.0,19.0,18.999999999999982
2557,Violent Crimes,Thomas,Violent Crimes Case - Thomas,03.12.21,Pending,Houston,27.10.23,25.11.23,29.02.24,Scott Jackson,8,10,1.0,19.0,18.99999999999999
1356,Major Thefts,Mary,Major Thefts Case - Mary,02.12.21,Pending,Seattle,06.03.24,15.05.24,22.09.24,Ms. Miranda Reed,9,9,1.0,19.0,18.99999999999999
2288,Major Thefts,Susan,Major Thefts Case - Susan,03.12.21,Pending,Washington,23.09.24,,,Jessica Holland MD,9,10,0.0,19.0,18.99999999999999
2472,Immigration Law Cases,Matthew,Immigration Law Cases Case - Matthew,29.11.21,Pending,Memphis,30.06.22,,,Scott Jackson,13,6,0.0,19.0,18.999999999999996
1186,Violent Crimes,Carla,Violent Crimes Case - Carla,04.12.21,Pending,Phoenix,22.02.23,20.09.23,,Andrea Pearson,8,11,0.5,19.5,19.49999999999999
512,Violent Crimes,William,Violent Crimes Case - William,04.12.21,Pending,Milwaukee,25.01.23,04.11.23,25.03.24,Daniel Sanders,8,11,1.0,20.0,19.99999999999999
1412,Major Thefts,Patricia,Major Thefts Case - Patricia,04.12.21,Pending,Memphis,31.01.24,03.07.24,14.09.24,Emily Castro,9,11,1.0,21.0,20.99999999999999
802,Public Corruption,Donna,Public Corruption Case - Donna,10.12.21,Pending,Washington,06.11.22,23.05.23,,Christopher Stevens,4,17,0.5,21.5,21.499999999999982
2405,Employment Law Disputes,Barbara,Employment Law Disputes Case - Barbara,03.12.21,Pending,Austin,04.08.22,,,Vanessa King,12,10,0.0,22.0,21.99999999999999
1891,Counterintelligence,Yvonne,Counterintelligence Case - Yvonne,13.12.21,Pending,Charlotte,13.11.24,04.05.25,,Mr. Cameron Hopkins,2,20,0.5,22.5,22.499999999999975
2497,Civil Rights,Ashley,Civil Rights Case - Ashley,11.12.21,Pending,Milwaukee,16.04.23,,,Grace Frazier,5,18,0.0,23.0,22.999999999999975
1417,Violent Crimes,Christopher,Violent Crimes Case - Christopher,08.12.21,Pending,San Diego,25.10.23,,,Wendy Burke,8,15,0.0,23.0,22.999999999999982
572,Major Thefts,Kaylee,Major Thefts Case - Kaylee,06.12.21,Pending,Phoenix,11.02.24,02.11.24,06.11.24,Jennifer Smith,9,13,1.0,23.0,22.999999999999986
1277,Employment Law Disputes,Tammy,Employment Law Disputes Case - Tammy,04.12.21,Pending,Fort Worth,21.03.22,,,Jason Gross,12,11,0.0,23.0,22.99999999999999
655,Immigration Law Cases,Dawn,Immigration Law Cases Case - Dawn,02.12.21,Pending,Charlotte,10.01.23,26.03.23,07.09.23,Travis Mack,13,9,1.0,23.0,22.99999999999999
1665,Counterintelligence,Alexis,Counterintelligence Case - Alexis,14.12.21,Pending,Washington,03.11.22,14.08.23,26.01.24,Eric Roberts,2,21,1.0,24.0,23.99999999999997
737,Violent Crimes,Jill,Violent Crimes Case - Jill,08.12.21,Pending,Seattle,28.07.23,03.12.23,23.04.24,Ms. Miranda Reed,8,15,1.0,24.0,23.999999999999982
1087,Environmental Law Violations,Vickie,Environmental Law Violations Case - Vickie,06.12.21,Pending,Fort Worth,30.09.24,,,Ashley Fletcher,11,13,0.0,24.0,23.99999999999999
1171,Employment Law Disputes,Matthew,Employment Law Disputes Case - Matthew,04.12.21,Pending,Nashville,01.01.23,18.01.23,08.03.23,Frank Huerta,12,11,1.0,24.0,23.99999999999999
1095,Securities Fraud,Jeffrey,Securities Fraud Case - Jeffrey,02.12.21,Pending,Baltimore,29.08.24,25.11.24,01.12.24,Zachary Hendrix,14,9,1.0,24.0,23.999999999999993
1348,Drug Trafficking,Nichole,Drug Trafficking Case - Nichole,01.12.21,Pending,Denver,06.05.24,06.06.24,30.08.24,Shane Yang,15,8,1.0,24.0,23.999999999999996
2611,Terrorism,Lori,Terrorism Case - Lori,16.12.21,Pending,Seattle,21.12.22,24.04.23,18.08.23,Gregory Sanchez,1,23,1.0,25.0,24.99999999999997
2013,Violent Crimes,Grace,Violent Crimes Case - Grace,09.12.21,Pending,Charlotte,03.03.24,10.05.24,17.06.24,Jon Stein,8,16,1.0,25.0,24.999999999999982
1901,White-Collar Crime,Deborah,White-Collar Crime Case - Deborah,10.12.21,Pending,Louisville,11.03.22,02.07.22,15.11.22,Heather Howell,7,17,1.0,25.0,24.999999999999982
1242,Environmental Law Violations,Krista,Environmental Law Violations Case - Krista,07.12.21,Pending,Baltimore,01.05.23,,,Jordan Lee,11,14,0.0,25.0,24.999999999999986
277,Employment Law Disputes,Donna,Employment Law Disputes Case - Donna,05.12.21,Pending,San Diego,21.09.22,22.04.23,18.07.23,Darlene Guerrero,12,12,1.0,25.0,24.99999999999999
2376,Drug Trafficking,Heather,Drug Trafficking Case - Heather,03.12.21,Pending,Oklahoma City,16.01.24,,,Penny Jones,15,10,0.0,25.0,24.999999999999993
1782,Civil Rights,Amy,Civil Rights Case - Amy,13.12.21,Pending,Seattle,13.05.24,19.11.24,,Scott Ali,5,20,0.5,25.5,25.499999999999975
2159,Intellectual Property Violations,Jacob,Intellectual Property Violations Case - Jacob,08.12.21,Pending,Chicago,22.10.22,29.04.23,,Alicia Johnson,10,15,0.5,25.5,25.499999999999982
988,Civil Rights,Darryl,Civil Rights Case - Darryl,14.12.21,Pending,Houston,03.11.24,,,Nichole Edwards,5,21,0.0,26.0,25.999999999999975
480,Major Thefts,Aaron,Major Thefts Case - Aaron,10.12.21,Pending,Charlotte,29.12.21,,,Mary Cannon,9,17,0.0,26.0,25.999999999999982
237,Terrorism,Jennifer,Terrorism Case - Jennifer,18.12.21,Pending,Columbus,23.05.23,30.01.24,07.07.24,Jamie Marsh,1,25,1.0,27.0,26.999999999999968
976,Environmental Law Violations,Daniel,Environmental Law Violations Case - Daniel,09.12.21,Pending,Nashville,17.08.24,18.04.25,,Melissa Murray,11,16,0.5,27.5,27.499999999999982
973,Major Thefts,Glenn,Major Thefts Case - Glenn,12.12.21,Pending,Philadelphia,05.04.24,,,Stephanie Henry,9,19,0.0,28.0,27.99999999999998
1542,Securities Fraud,Elizabeth,Securities Fraud Case - Elizabeth,06.12.21,Pending,Phoenix,14.11.23,14.04.24,28.09.24,Nathan Chandler,14,13,1.0,28.0,27.99999999999999
1705,Employment Law Disputes,Richard,Employment Law Disputes Case - Richard,09.12.21,Pending,Memphis,09.05.22,09.08.22,,Amanda Oconnor,12,16,0.5,28.5,28.499999999999982
2791,Public Corruption,Christopher,Public Corruption Case - Christopher,17.12.21,Pending,Oklahoma City,16.10.23,17.07.24,07.08.24,Thomas Smith,4,24,1.0,29.0,28.999999999999968
849,Organized Crime,Melissa,Organized Crime Case - Melissa,15.12.21,Pending,Denver,08.11.23,06.11.24,11.12.24,Brian Doyle,6,22,1.0,29.0,28.999999999999975
1116,Environmental Law Violations,Frank,Environmental Law Violations Case - Frank,10.12.21,Pending,San Jose,28.01.22,29.05.22,27.08.22,Ronald Bright,11,17,1.0,29.0,28.999999999999982
647,Counterintelligence,Mandy,Counterintelligence Case - Mandy,21.12.21,Pending,Columbus,07.03.24,,,Miss Holly Richardson DDS,2,28,0.0,30.0,29.999999999999964
2444,Organized Crime,Jessica,Organized Crime Case - Jessica,17.12.21,Pending,Louisville,09.10.22,,,Patricia Arias,6,24,0.0,30.0,29.99999999999997
1159,Organized Crime,Rachel,Organized Crime Case - Rachel,17.12.21,Pending,Louisville,06.04.22,,,Rachel Mckee,6,24,0.0,30.0,29.99999999999997
2982,Immigration Law Cases,Brenda,Immigration Law Cases Case - Brenda,10.12.21,Pending,Los Angeles,21.10.24,,,Michael Morales,13,17,0.0,30.0,29.999999999999982
2775,Immigration Law Cases,Thomas,Immigration Law Cases Case - Thomas,09.12.21,Pending,San Antonio,24.04.22,15.09.22,01.02.23,David Weaver,13,16,1.0,30.0,29.999999999999982
2182,Terrorism,Adam,Terrorism Case - Adam,22.12.21,Pending,Las Vegas,05.04.23,18.02.24,,Susan Frye,1,29,0.5,30.5,30.499999999999964
1354,Counterintelligence,Stephen,Counterintelligence Case - Stephen,21.12.21,Pending,San Antonio,02.12.22,17.08.23,,Amanda Oconnor,2,28,0.5,30.5,30.499999999999964
2560,Cyber Crime,Robert,Cyber Crime Case - Robert,20.12.21,Pending,Portland,23.01.23,05.10.23,,Melinda Fields,3,27,0.5,30.5,30.499999999999968
1253,Major Thefts,Nancy,Major Thefts Case - Nancy,14.12.21,Pending,Washington,12.04.22,18.08.22,,Kevin Davis,9,21,0.5,30.5,30.499999999999975
66,Employment Law Disputes,Alexandra,Employment Law Disputes Case - Alexandra,11.12.21,Pending,Indianapolis,10.07.23,10.02.24,,Brianna Mclaughlin,12,18,0.5,30.5,30.499999999999982
2321,Environmental Law Violations,Justin,Environmental Law Violations Case - Justin,12.12.21,Pending,Baltimore,19.10.24,24.01.25,04.02.25,Mary Walters,11,19,1.0,31.0,30.999999999999982
860,Terrorism,Alicia,Terrorism Case - Alicia,23.12.21,Pending,Philadelphia,26.09.24,10.07.25,01.11.25,Mr. Michael Lewis PhD,1,30,1.0,32.0,31.999999999999964
889,Civil Rights,Samuel,Civil Rights Case - Samuel,20.12.21,Pending,Chicago,29.04.23,,,William Edwards,5,27,0.0,32.0,31.999999999999968
2985,Civil Rights,Timothy,Civil Rights Case - Timothy,19.12.21,Pending,Milwaukee,27.01.22,03.09.22,18.11.22,Grace Frazier,5,26,1.0,32.0,31.999999999999968
719,Intellectual Property Violations,Lynn,Intellectual Property Violations Case - Lynn,14.12.21,Pending,Denver,27.06.22,14.07.22,08.01.23,Mary Cannon,10,21,1.0,32.0,31.999999999999975
2461,Major Thefts,Jennifer,Major Thefts Case - Jennifer,15.12.21,Pending,Fort Worth,16.12.23,30.05.24,20.07.24,Kevin Wood,9,22,1.0,32.0,31.999999999999975
614,Securities Fraud,Leah,Securities Fraud Case - Leah,11.12.21,Pending,Phoenix,27.01.22,,,Amanda Jefferson,14,18,0.0,32.0,31.999999999999982
2767,Drug Trafficking,Joe,Drug Trafficking Case - Joe,09.12.21,Pending,Las Vegas,13.02.22,21.07.22,12.08.22,Michele Jackson,15,16,1.0,32.0,31.999999999999986
141,Drug Trafficking,Meredith,Drug Trafficking Case - Meredith,10.12.21,Pending,Indianapolis,10.05.22,,,Cynthia Harris,15,17,0.0,32.0,31.999999999999986
86,Terrorism,Laura,Terrorism Case - Laura,24.12.21,Pending,Indianapolis,05.05.24,25.06.24,,Samantha Sanders,1,31,0.5,32.5,32.49999999999996
550,Major Thefts,Troy,Major Thefts Case - Troy,16.12.21,Pending,Memphis,05.09.24,28.02.25,06.03.25,Jamie Marsh,9,23,1.0,33.0,32.99999999999997
2759,Intellectual Property Violations,Jacqueline,Intellectual Property Violations Case - Jacqueline,16.12.21,Pending,Houston,03.09.24,28.07.25,02.01.26,Carl Martinez,10,23,1.0,34.0,33.99999999999997
1063,Civil Rights,Sean,Civil Rights Case - Sean,21.12.21,Pending,Jacksonville,02.05.22,07.10.22,10.02.23,Kelsey Lopez,5,28,1.0,34.0,33.99999999999997
215,Terrorism,Ryan,Terrorism Case - Ryan,26.12.21,Pending,Dallas,23.11.22,05.09.23,,Zachary Hines,1,33,0.5,34.5,34.49999999999996
1870,Civil Rights,Charles,Civil Rights Case - Charles,22.12.21,Pending,San Francisco,29.04.24,10.08.24,18.10.24,Samantha Kelly,5,29,1.0,35.0,34.99999999999997
2572,Environmental Law Violations,Jennifer,Environmental Law Violations Case - Jennifer,16.12.21,Pending,Oklahoma City,18.07.22,20.12.22,13.04.23,Jill Johnson,11,23,1.0,35.0,34.99999999999997
2352,Securities Fraud,Cynthia,Securities Fraud Case - Cynthia,14.12.21,Pending,Los Angeles,07.05.23,,,Casey Hernandez,14,21,0.0,35.0,34.999999999999986
668,Employment Law Disputes,Adrian,Employment Law Disputes Case - Adrian,16.12.21,Pending,Chicago,16.08.23,02.02.24,,Michael Brooks,12,23,0.5,35.5,35.49999999999997
1923,Counterintelligence,Katrina,Counterintelligence Case - Katrina,27.12.21,Pending,Philadelphia,22.08.23,,,Melissa Murillo,2,34,0.0,36.0,35.99999999999996
2745,Employment Law Disputes,Jaclyn,Employment Law Disputes Case - Jaclyn,16.12.21,Pending,Columbus,28.06.23,18.12.23,28.12.23,Christina Cochran,12,23,1.0,36.0,35.99999999999997
1533,Intellectual Property Violations,Blake,Intellectual Property Violations Case - Blake,18.12.21,Pending,Columbus,28.10.24,06.04.25,05.08.25,Jordan Lee,10,25,1.0,36.0,35.99999999999997
632,Public Corruption,Jonathan,Public Corruption Case - Jonathan,25.12.21,Pending,Las Vegas,13.11.22,31.07.23,29.11.23,Kevin Williamson,4,32,1.0,37.0,36.99999999999996
2230,Environmental Law Violations,Mary,Environmental Law Violations Case - Mary,19.12.21,Pending,Washington,23.12.21,,,Bryan Simpson,11,26,0.0,37.0,36.99999999999997
666,Violent Crimes,William,Violent Crimes Case - William,22.12.21,Pending,Fort Worth,13.08.22,,,Matthew Hall,8,29,0.0,37.0,36.99999999999997
2419,Immigration Law Cases,Dana,Immigration Law Cases Case - Dana,17.12.21,Pending,Dallas,17.06.22,20.05.23,,Eric Murray,13,24,0.5,37.5,37.49999999999997
2127,White-Collar Crime,Bonnie,White-Collar Crime Case - Bonnie,23.12.21,Pending,Seattle,15.11.24,28.07.25,,Justin Rogers,7,30,0.5,37.5,37.49999999999997
2060,Employment Law Disputes,George,Employment Law Disputes Case - George,18.12.21,Pending,Washington,14.07.23,25.08.23,17.01.24,Whitney King,12,25,1.0,38.0,37.99999999999997
761,Intellectual Property Violations,Matthew,Intellectual Property Violations Case - Matthew,21.12.21,Pending,Fort Worth,27.03.23,,,Jennifer Smith,10,28,0.0,38.0,37.99999999999997
2015,Violent Crimes,Kari,Violent Crimes Case - Kari,23.12.21,Pending,Portland,17.07.24,,,Mackenzie Gomez,8,30,0.0,38.0,37.99999999999997
2694,Violent Crimes,Sean,Violent Crimes Case - Sean,22.12.21,Pending,Dallas,16.06.24,04.07.24,10.12.24,Tammie Ortega,8,29,1.0,38.0,37.99999999999997
549,Drug Trafficking,Matthew,Drug Trafficking Case - Matthew,17.12.21,Pending,Detroit,26.10.22,,,Carl Martinez,15,24,0.0,39.0,38.99999999999997
1551,Major Thefts,Nicholas,Major Thefts Case - Nicholas,23.12.21,Pending,Memphis,05.02.22,,,David Ford,9,30,0.0,39.0,38.99999999999997
494,Civil Rights,Kenneth,Civil Rights Case - Kenneth,27.12.21,Pending,Houston,13.09.23,25.04.24,,Dr. Denise Flores,5,34,0.5,39.5,39.49999999999996
1989,Immigration Law Cases,Amanda,Immigration Law Cases Case - Amanda,19.12.21,Pending,Boston,06.11.22,23.10.23,17.12.23,Timothy Singh MD,13,26,1.0,40.0,39.99999999999997
129,Counterintelligence,Brandon,Counterintelligence Case - Brandon,31.12.21,Pending,New York,31.12.23,29.06.24,,Alexander Allen,2,38,0.5,40.5,40.49999999999996
1367,Organized Crime,Ashley,Organized Crime Case - Ashley,27.12.21,Pending,Houston,27.08.22,06.03.23,15.08.23,Stephen Elliott,6,34,1.0,41.0,40.99999999999996
1270,Employment Law Disputes,Jason,Employment Law Disputes Case - Jason,21.12.21,Pending,Portland,20.11.24,17.10.25,25.10.25,Ms. Miranda Reed,12,28,1.0,41.0,40.99999999999997
389,Cyber Crime,Sally,Cyber Crime Case - Sally,31.12.21,Pending,Las Vegas,20.08.23,16.07.24,26.07.24,Mary Brown,3,38,1.0,42.0,41.99999999999996
2400,Public Corruption,Melanie,Public Corruption Case - Melanie,30.12.21,Pending,Jacksonville,24.04.23,10.05.23,09.07.23,Mr. Cameron Hopkins,4,37,1.0,42.0,41.99999999999996
544,Violent Crimes,Michael,Violent Crimes Case - Michael,27.12.21,Pending,Las Vegas,29.10.22,,,Kari Price,8,34,0.0,42.0,41.99999999999997
18,Drug Trafficking,Tom,Drug Trafficking Case - Tom,20.12.21,Pending,Jacksonville,16.03.22,,,Scott Bernard,15,27,0.0,42.0,41.99999999999997
1800,Violent Crimes,Lauren,Violent Crimes Case - Lauren,27.12.21,Pending,San Francisco,23.01.22,27.04.22,,Christopher Stevens,8,34,0.5,42.5,42.49999999999997
1012,Drug Trafficking,Jonathan,Drug Trafficking Case - Jonathan,20.12.21,Pending,Detroit,08.04.23,21.04.23,,Eric Murphy,15,27,0.5,42.5,42.49999999999997
1811,Organized Crime,Lisa,Organized Crime Case - Lisa,30.12.21,Pending,Philadelphia,19.08.24,,,Nathaniel Miller,6,37,0.0,43.0,42.99999999999996
452,Drug Trafficking,Kathryn,Drug Trafficking Case - Kathryn,20.12.21,Pending,Jacksonville,06.12.22,15.05.23,01.06.23,Lynn Snyder,15,27,1.0,43.0,42.99999999999997
1617,Employment Law Disputes,Joshua,Employment Law Disputes Case - Joshua,23.12.21,Pending,Columbus,09.04.23,10.01.24,01.02.24,Rachel Mckee,12,30,1.0,43.0,42.99999999999997
2971,Intellectual Property Violations,Joshua,Intellectual Property Violations Case - Joshua,25.12.21,Pending,Boston,05.09.22,26.08.23,18.12.23,David Hill,10,32,1.0,43.0,42.99999999999997
1945,Terrorism,Martin,Terrorism Case - Martin,05.01.22,Pending,San Antonio,06.04.22,,,Amber Dixon,1,43,0.0,44.0,43.99999999999994
893,Violent Crimes,Thomas,Violent Crimes Case - Thomas,29.12.21,Pending,Fort Worth,16.01.22,28.09.22,27.10.22,Kevin Skinner,8,36,1.0,45.0,44.99999999999996
1093,Environmental Law Violations,Thomas,Environmental Law Violations Case - Thomas,26.12.21,Pending,Milwaukee,18.07.24,06.03.25,27.05.25,Timothy Lawrence,11,33,1.0,45.0,44.99999999999997
2770,Securities Fraud,Christopher,Securities Fraud Case - Christopher,24.12.21,Pending,Austin,27.04.23,,,Elizabeth Carson,14,31,0.0,45.0,44.99999999999997
1994,Intellectual Property Violations,Sandra,Intellectual Property Violations Case - Sandra,27.12.21,Pending,Charlotte,06.12.22,03.01.23,01.05.23,Karla Moore,10,34,1.0,45.0,44.99999999999997
1154,Public Corruption,Joseph,Public Corruption Case - Joseph,04.01.22,Pending,Denver,25.05.22,,,Rebecca Conley,4,42,0.0,46.0,45.99999999999994
2528,Public Corruption,Amanda,Public Corruption Case - Amanda,03.01.22,Pending,San Francisco,15.04.22,12.02.23,20.02.23,Tammy Mendoza,4,41,1.0,46.0,45.99999999999996
1695,Immigration Law Cases,Elizabeth,Immigration Law Cases Case - Elizabeth,26.12.21,Pending,Phoenix,19.08.23,,,Dr. Denise Flores,13,33,0.0,46.0,45.99999999999997
2174,Major Thefts,Angela,Major Thefts Case - Angela,30.12.21,Pending,Milwaukee,12.01.24,17.12.24,,Kelsey Richardson,9,37,0.5,46.5,46.49999999999996
208,Public Corruption,Elizabeth,Public Corruption Case - Elizabeth,04.01.22,Pending,San Francisco,02.10.22,07.03.23,22.07.23,Crystal Oconnell,4,42,1.0,47.0,46.99999999999994
1358,Public Corruption,Robert,Public Corruption Case - Robert,04.01.22,Pending,Portland,05.03.23,22.11.23,10.01.24,Ashley Fletcher,4,42,1.0,47.0,46.99999999999994
2876,Intellectual Property Violations,Terry,Intellectual Property Violations Case - Terry,29.12.21,Pending,Baltimore,30.11.23,11.01.24,23.04.24,Amy Bell,10,36,1.0,47.0,46.99999999999996
526,Employment Law Disputes,Jonathan,Employment Law Disputes Case - Jonathan,27.12.21,Pending,Oklahoma City,21.04.24,15.08.24,06.10.24,Alice Bradley,12,34,1.0,47.0,46.99999999999997
2195,Civil Rights,David,Civil Rights Case - David,04.01.22,Pending,San Diego,22.09.23,15.10.23,,Darius Strickland,5,42,0.5,47.5,47.49999999999994
2945,Terrorism,Vincent,Terrorism Case - Vincent,09.01.22,Pending,Phoenix,20.02.24,,,Eric Murray,1,47,0.0,48.0,47.99999999999994
740,Employment Law Disputes,Alyssa,Employment Law Disputes Case - Alyssa,28.12.21,Pending,Memphis,23.10.23,19.03.24,27.05.24,Carl Martinez,12,35,1.0,48.0,47.99999999999997
1980,Terrorism,Todd,Terrorism Case - Todd,09.01.22,Pending,Columbus,25.02.22,11.02.23,,Amanda Jones,1,47,0.5,48.5,48.49999999999994
983,Organized Crime,Pamela,Organized Crime Case - Pamela,04.01.22,Pending,Detroit,01.02.23,24.01.24,26.03.24,Michelle Nelson,6,42,1.0,49.0,48.99999999999994
784,Immigration Law Cases,Joseph,Immigration Law Cases Case - Joseph,28.12.21,Pending,Charlotte,30.01.24,09.08.24,29.11.24,Lisa Patterson,13,35,1.0,49.0,48.99999999999997
1577,Organized Crime,Angela,Organized Crime Case - Angela,05.01.22,Pending,Philadelphia,25.03.22,14.03.23,,David Orozco,6,43,0.5,49.5,49.49999999999994
2710,Major Thefts,Vicki,Major Thefts Case - Vicki,02.01.22,Pending,Jacksonville,13.05.22,22.09.22,,Kayla Myers,9,40,0.5,49.5,49.49999999999996
