Case ID,Case Type,Parties Involved,Case Title,Filing Date,Case Status,Case Location,Hearing 1 date,Hearing 2 date,Hearing 3 date,Assigned Judge,Case Type Priority,Case Age,Scheduled Hearings,Overall Priority
570,Terrorism,Richard,Terrorism Case - Richard,2023-02-14,Closed,Columbus,2023-03-24,2023-12-07,,Desiree Neal,1,0.3863013698630137,0.5,1.8863013698630138
1770,Terrorism,Megan,Terrorism Case - Megan,2023-01-09,Closed,Los Angeles,2023-01-26,2023-07-19,,Charles Brooks,1,0.43561643835616437,0.5,1.9356164383561643
1005,Terrorism,Richard,Terrorism Case - Richard,2023-01-08,Closed,Milwaukee,2024-10-28,2025-01-28,,Kelsey Frey,1,0.436986301369863,0.5,1.936986301369863
1165,Terrorism,Janice,Terrorism Case - Janice,2022-01-01,Closed,Louisville,2023-05-15,,,Kayla Haley,1,0.9465753424657535,0.0,1.9465753424657535
1345,Terrorism,Teresa,Terrorism Case - Teresa,2021-12-30,Closed,Boston,2022-04-12,,,Mr. John Potter,1,0.9493150684931507,0.0,1.9493150684931506
937,Terrorism,Tiffany,Terrorism Case - Tiffany,2021-12-16,Closed,Austin,2024-10-31,,,Robin Barnett,1,0.9684931506849315,0.0,1.9684931506849315
586,Terrorism,Edward,Terrorism Case - Edward,2021-12-16,Closed,Memphis,2022-06-11,,,Jeffery Hamilton,1,0.9684931506849315,0.0,1.9684931506849315
1144,Terrorism,Debra,Terrorism Case - Debra,2021-12-11,Closed,Phoenix,2023-05-20,,,Stephanie Newman,1,0.9753424657534246,0.0,1.9753424657534246
429,Terrorism,Victoria,Terrorism Case - Victoria,2022-12-08,Closed,Detroit,2023-06-20,2024-01-05,,Lynn Walls,1,0.4794520547945205,0.5,1.9794520547945205
71,Counterintelligence,Jesse,Counterintelligence Case - Jesse,2023-11-08,Closed,Seattle,2024-07-19,,,Steven Gill,2,0.02054794520547945,0.0,2.0205479452054793
1555,Terrorism,Wesley,Terrorism Case - Wesley,2022-11-07,Closed,Columbus,2023-12-19,2024-09-04,,Adam Smith,1,0.5219178082191781,0.5,2.021917808219178
253,Terrorism,Steven,Terrorism Case - Steven,2023-11-04,Closed,Oklahoma City,2024-05-26,2024-12-22,2025-04-17,Donald Oliver,1,0.026027397260273973,1.0,2.026027397260274
1305,Terrorism,Mckenzie,Terrorism Case - Mckenzie,2023-10-10,Closed,Jacksonville,2024-11-12,2024-11-23,2024-12-16,William Powell,1,0.06027397260273973,1.0,2.0602739726027397
1211,Terrorism,Carol,Terrorism Case - Carol,2022-10-07,Closed,Milwaukee,2024-03-03,2024-06-23,,April Pineda,1,0.5643835616438356,0.5,2.0643835616438357
145,Terrorism,James,Terrorism Case - James,2023-10-04,Closed,Houston,2024-02-28,2024-10-12,2024-12-28,Robert Nichols,1,0.0684931506849315,1.0,2.0684931506849313
387,Terrorism,Peter,Terrorism Case - Peter,2023-09-21,Closed,Memphis,2024-06-23,2025-05-01,2025-06-27,Robert Nichols,1,0.0863013698630137,1.0,2.0863013698630137
154,Counterintelligence,Thomas,Counterintelligence Case - Thomas,2023-08-30,Closed,Louisville,2024-08-25,,,Angel Lee,2,0.11643835616438356,0.0,2.1164383561643834
1878,Terrorism,Daniel,Terrorism Case - Daniel,2022-08-26,Closed,Columbus,2023-01-05,2023-12-11,,Michael Lynch,1,0.6219178082191781,0.5,2.121917808219178
830,Terrorism,Michael,Terrorism Case - Michael,2023-08-24,Closed,Memphis,2023-10-14,2023-11-12,2023-12-25,Karen Pope,1,0.12465753424657534,1.0,2.1246575342465754
1832,Counterintelligence,Denise,Counterintelligence Case - Denise,2023-08-14,Closed,Indianapolis,2024-07-01,,,Andrew Dawson,2,0.13835616438356163,0.0,2.138356164383562
1784,Counterintelligence,Shannon,Counterintelligence Case - Shannon,2023-08-12,Closed,New York,2023-12-30,,,Steve Palmer,2,0.1410958904109589,0.0,2.1410958904109587
834,Terrorism,Timothy,Terrorism Case - Timothy,2022-08-11,Closed,Austin,2023-05-28,2024-03-09,,Jeremy Smith,1,0.6424657534246575,0.5,2.1424657534246574
906,Terrorism,Christine,Terrorism Case - Christine,2022-08-10,Closed,Phoenix,2023-12-01,2024-09-02,,Charles Brooks,1,0.6438356164383562,0.5,2.143835616438356
189,Counterintelligence,Samantha,Counterintelligence Case - Samantha,2023-08-07,Closed,Las Vegas,2024-09-19,,,Andrew Murray,2,0.14794520547945206,0.0,2.147945205479452
1240,Terrorism,Jordan,Terrorism Case - Jordan,2023-08-07,Closed,Portland,2024-05-31,2024-10-07,2024-12-14,Grant Cooley,1,0.14794520547945206,1.0,2.147945205479452
143,Terrorism,Jerry,Terrorism Case - Jerry,2022-08-05,Closed,Houston,2023-06-06,2023-08-08,,Angela Williams,1,0.6506849315068494,0.5,2.1506849315068495
1757,Terrorism,Dawn,Terrorism Case - Dawn,2023-07-30,Closed,Dallas,2023-12-01,2024-04-19,2024-06-19,Jocelyn Soto,1,0.1589041095890411,1.0,2.158904109589041
1882,Terrorism,Adam,Terrorism Case - Adam,2023-07-27,Closed,Indianapolis,2023-12-31,2024-06-30,2024-12-10,Sheila Mora,1,0.16301369863013698,1.0,2.163013698630137
1888,Terrorism,Jeffrey,Terrorism Case - Jeffrey,2023-07-23,Closed,Indianapolis,2024-07-18,2025-03-06,2025-07-09,Angela Williams,1,0.1684931506849315,1.0,2.1684931506849314
1320,Counterintelligence,Daniel,Counterintelligence Case - Daniel,2023-07-14,Closed,Charlotte,2023-11-25,,,Jill English,2,0.18082191780821918,0.0,2.180821917808219
1194,Terrorism,George,Terrorism Case - George,2023-07-14,Closed,Austin,2023-09-01,2023-11-05,2024-04-06,Justin Greene,1,0.18082191780821918,1.0,2.180821917808219
1239,Terrorism,Andrew,Terrorism Case - Andrew,2022-07-09,Closed,Austin,2022-09-18,2023-02-12,,Dalton Gillespie,1,0.6876712328767123,0.5,2.1876712328767125
1653,Terrorism,Robert,Terrorism Case - Robert,2023-07-08,Closed,New York,2023-10-15,2023-12-06,2024-05-21,Charles Horne,1,0.18904109589041096,1.0,2.1890410958904107
103,Terrorism,Brittany,Terrorism Case - Brittany,2023-07-04,Closed,San Jose,2023-11-05,2024-09-15,2025-02-03,Brian Hale,1,0.19452054794520549,1.0,2.1945205479452055
507,Terrorism,Lance,Terrorism Case - Lance,2023-07-03,Closed,Oklahoma City,2024-03-14,2025-01-17,2025-06-13,Ricky Keller,1,0.1958904109589041,1.0,2.195890410958904
277,Counterintelligence,Roberto,Counterintelligence Case - Roberto,2023-06-28,Closed,Memphis,2024-05-10,,,Rebecca Goodwin,2,0.20273972602739726,0.0,2.202739726027397
1470,Counterintelligence,Lisa,Counterintelligence Case - Lisa,2023-06-12,Closed,Jacksonville,2023-09-12,,,Robin Barnett,2,0.22465753424657534,0.0,2.2246575342465755
1274,Counterintelligence,Frank,Counterintelligence Case - Frank,2023-05-23,Closed,San Jose,2023-08-10,,,Kayla Haley,2,0.25205479452054796,0.0,2.252054794520548
1073,Terrorism,Cheryl,Terrorism Case - Cheryl,2023-05-16,Closed,Las Vegas,2023-07-30,2024-04-20,2024-05-06,Robert Shepard,1,0.26164383561643834,1.0,2.2616438356164386
1084,Counterintelligence,Christopher,Counterintelligence Case - Christopher,2023-05-12,Closed,Fort Worth,2023-12-30,,,Brian Flores,2,0.2671232876712329,0.0,2.267123287671233
1669,Terrorism,Misty,Terrorism Case - Misty,2023-05-09,Closed,Indianapolis,2023-11-20,2024-06-21,2024-09-10,Dillon Fernandez,1,0.27123287671232876,1.0,2.271232876712329
1106,Counterintelligence,Crystal,Counterintelligence Case - Crystal,2023-05-09,Closed,Los Angeles,2023-09-11,,,Erica Wu,2,0.27123287671232876,0.0,2.271232876712329
162,Terrorism,Joseph,Terrorism Case - Joseph,2023-04-27,Closed,Washington,2024-03-31,2024-06-08,2024-11-15,Joshua Reed,1,0.2876712328767123,1.0,2.287671232876712
845,Terrorism,Michael,Terrorism Case - Michael,2023-04-22,Closed,Philadelphia,2023-10-03,2024-06-17,2024-08-11,Crystal Flores,1,0.2945205479452055,1.0,2.2945205479452055
1842,Counterintelligence,Stephanie,Counterintelligence Case - Stephanie,2023-04-21,Closed,Philadelphia,2024-07-03,,,Paul Kirby,2,0.2958904109589041,0.0,2.2958904109589042
247,Terrorism,Jason,Terrorism Case - Jason,2023-04-18,Closed,Nashville,2024-05-24,2024-12-01,2024-12-26,Kimberly Smith,1,0.3,1.0,2.3
722,Counterintelligence,Ruben,Counterintelligence Case - Ruben,2023-04-17,Closed,Los Angeles,2024-07-28,,,Debra Carter,2,0.3013698630136986,0.0,2.3013698630136985
716,Terrorism,Mark,Terrorism Case - Mark,2022-03-27,Closed,Charlotte,2023-04-30,2023-12-16,,John Smith,1,0.8301369863013699,0.5,2.33013698630137
1023,Terrorism,Wendy,Terrorism Case - Wendy,2023-03-25,Closed,Baltimore,2023-08-29,2024-01-11,2024-05-10,Thomas Davis,1,0.33287671232876714,1.0,2.3328767123287673
100,Counterintelligence,Kim,Counterintelligence Case - Kim,2023-03-24,Closed,Nashville,2023-10-03,,,Anthony Guerra,2,0.33424657534246577,0.0,2.334246575342466
1792,Counterintelligence,Brittany,Counterintelligence Case - Brittany,2023-03-24,Closed,Louisville,2024-02-02,,,Colleen Perkins,2,0.33424657534246577,0.0,2.334246575342466
643,Terrorism,Rebecca,Terrorism Case - Rebecca,2023-03-20,Closed,Boston,2024-04-20,2024-08-11,2024-10-17,Timothy Schwartz,1,0.33972602739726027,1.0,2.33972602739726
58,Terrorism,Jay,Terrorism Case - Jay,2023-03-19,Closed,Jacksonville,2024-08-30,2025-07-14,2025-12-04,Brian Hale,1,0.3410958904109589,1.0,2.341095890410959
1275,Counterintelligence,Pamela,Counterintelligence Case - Pamela,2023-03-14,Closed,Indianapolis,2023-07-24,,,Danielle Hubbard,2,0.34794520547945207,0.0,2.3479452054794523
375,Terrorism,Melanie,Terrorism Case - Melanie,2023-03-14,Closed,Louisville,2024-07-08,2024-12-22,2025-05-28,Brenda House,1,0.34794520547945207,1.0,2.3479452054794523
1232,Terrorism,Danny,Terrorism Case - Danny,2023-03-01,Closed,Nashville,2023-07-09,2023-12-21,2024-02-25,Manuel Carr,1,0.36575342465753424,1.0,2.3657534246575342
270,Terrorism,Michael,Terrorism Case - Michael,2023-02-23,Closed,Charlotte,2024-05-31,2024-09-11,2025-02-17,Kristin Reese,1,0.37397260273972605,1.0,2.373972602739726
935,Terrorism,Lisa,Terrorism Case - Lisa,2023-02-17,Closed,Seattle,2024-05-09,2024-06-22,2024-10-17,Alexander Hayden,1,0.3821917808219178,1.0,2.382191780821918
605,Terrorism,Erica,Terrorism Case - Erica,2023-02-15,Closed,Denver,2024-10-22,2025-04-19,2025-06-13,Robert Frey,1,0.38493150684931504,1.0,2.3849315068493153
1008,Terrorism,Brian,Terrorism Case - Brian,2022-02-05,Closed,New York,2024-07-02,2024-08-26,,Amy Crawford,1,0.8986301369863013,0.5,2.3986301369863012
1498,Terrorism,Miguel,Terrorism Case - Miguel,2022-02-03,Closed,Washington,2022-05-10,2022-11-23,,Courtney Kidd,1,0.9013698630136986,0.5,2.4013698630136986
5,Terrorism,Rick,Terrorism Case - Rick,2023-02-02,Closed,Milwaukee,2024-10-20,2025-03-02,2025-07-07,Brittany Mahoney,1,0.40273972602739727,1.0,2.4027397260273973
942,Counterintelligence,Tony,Counterintelligence Case - Tony,2023-01-30,Closed,Los Angeles,2024-03-03,,,Debra Carter,2,0.40684931506849314,0.0,2.4068493150684933
957,Terrorism,Nicolas,Terrorism Case - Nicolas,2023-01-25,Closed,Boston,2024-01-23,2024-01-26,2024-05-14,Dalton Gillespie,1,0.4136986301369863,1.0,2.4136986301369863
753,Terrorism,Timothy,Terrorism Case - Timothy,2023-01-22,Closed,San Francisco,2024-09-02,2024-09-15,2024-12-28,Leslie Chan,1,0.4178082191780822,1.0,2.4178082191780823
1294,Terrorism,Paul,Terrorism Case - Paul,2023-01-18,Closed,Columbus,2023-07-05,2023-09-08,2024-02-09,Angel Lee,1,0.4232876712328767,1.0,2.4232876712328766
885,Terrorism,Lisa,Terrorism Case - Lisa,2021-12-30,Closed,Charlotte,2023-03-14,2023-10-13,,Ronald Ross,1,0.9493150684931507,0.5,2.4493150684931506
1552,Terrorism,Nathan,Terrorism Case - Nathan,2022-12-23,Closed,Milwaukee,2024-03-26,2025-02-18,2025-08-09,Dana West,1,0.4589041095890411,1.0,2.4589041095890414
1576,Terrorism,Jimmy,Terrorism Case - Jimmy,2022-12-21,Closed,Denver,2023-12-05,2024-04-30,2024-08-25,Charles Horne,1,0.46164383561643835,1.0,2.4616438356164383
28,Terrorism,Jean,Terrorism Case - Jean,2022-12-18,Closed,Philadelphia,2024-05-23,2024-12-19,2025-02-12,David Jenkins,1,0.4657534246575342,1.0,2.4657534246575343
1342,Terrorism,Julie,Terrorism Case - Julie,2022-12-11,Closed,Memphis,2024-06-07,2024-09-08,2024-12-23,Charles Brooks,1,0.47534246575342465,1.0,2.4753424657534246
923,Terrorism,Leonard,Terrorism Case - Leonard,2022-12-10,Closed,Austin,2023-09-16,2023-10-22,2023-12-18,Julie Rodriguez,1,0.4767123287671233,1.0,2.4767123287671233
1179,Counterintelligence,Jennifer,Counterintelligence Case - Jennifer,2023-11-16,Closed,Oklahoma City,2024-05-27,2025-02-09,,Andrew Dawson,2,0.009589041095890411,0.5,2.5095890410958903
239,Terrorism,Mary,Terrorism Case - Mary,2022-11-10,Closed,Charlotte,2024-11-10,2025-07-18,2025-07-20,Nathan Levine,1,0.5178082191780822,1.0,2.5178082191780824
1138,Counterintelligence,Kristen,Counterintelligence Case - Kristen,2022-11-02,Closed,Milwaukee,2023-06-23,,,Tonya Green,2,0.5287671232876713,0.0,2.5287671232876714
891,Counterintelligence,Kathryn,Counterintelligence Case - Kathryn,2022-11-01,Closed,Chicago,2024-07-31,,,Mario Barton,2,0.5301369863013699,0.0,2.53013698630137
1723,Terrorism,Manuel,Terrorism Case - Manuel,2022-11-01,Closed,San Antonio,2023-04-12,2023-04-28,2023-07-30,Nicole Wilson,1,0.5301369863013699,1.0,2.53013698630137
1798,Counterintelligence,Nancy,Counterintelligence Case - Nancy,2023-10-28,Closed,Chicago,2024-10-21,2024-12-01,,John Smith,2,0.03561643835616438,0.5,2.5356164383561643
915,Terrorism,Ronald,Terrorism Case - Ronald,2022-10-25,Closed,Los Angeles,2023-01-31,2023-10-30,2023-12-27,Daniel Porter,1,0.5397260273972603,1.0,2.5397260273972604
833,Terrorism,Leslie,Terrorism Case - Leslie,2022-10-24,Closed,Charlotte,2023-05-28,2023-10-21,2024-01-08,Kimberly Wright,1,0.541095890410959,1.0,2.541095890410959
495,Counterintelligence,Edward,Counterintelligence Case - Edward,2022-10-23,Closed,San Antonio,2024-03-21,,,Alexandra Fox,2,0.5424657534246575,0.0,2.5424657534246577
1982,Counterintelligence,Joshua,Counterintelligence Case - Joshua,2023-10-16,Closed,Washington,2024-01-18,2024-09-20,,Melissa Middleton,2,0.052054794520547946,0.5,2.552054794520548
1262,Terrorism,Kimberly,Terrorism Case - Kimberly,2022-10-16,Closed,San Antonio,2023-08-31,2024-04-19,2024-07-10,Jason Torres,1,0.552054794520548,1.0,2.552054794520548
1313,Terrorism,Mark,Terrorism Case - Mark,2022-10-15,Closed,Louisville,2022-12-04,2023-12-01,2024-03-24,Cynthia Cisneros,1,0.5534246575342465,1.0,2.5534246575342463
588,Counterintelligence,Kimberly,Counterintelligence Case - Kimberly,2023-10-05,Closed,Charlotte,2024-07-01,2024-11-20,,Natalie Murray,2,0.06712328767123288,0.5,2.567123287671233
675,Terrorism,Leslie,Terrorism Case - Leslie,2022-10-03,Closed,Oklahoma City,2024-04-27,2024-05-19,2024-06-01,Tracy Rice,1,0.5698630136986301,1.0,2.56986301369863
1129,Terrorism,Steven,Terrorism Case - Steven,2022-10-02,Closed,Chicago,2023-09-25,2024-06-20,2024-07-12,Jason Vega,1,0.5712328767123288,1.0,2.5712328767123287
55,Counterintelligence,Lindsay,Counterintelligence Case - Lindsay,2023-09-09,Closed,Baltimore,2024-10-22,2024-11-02,,Natalie Murray,2,0.10273972602739725,0.5,2.6027397260273974
228,Terrorism,Jeffrey,Terrorism Case - Jeffrey,2022-08-25,Closed,Oklahoma City,2024-06-19,2025-04-01,2025-09-27,Joshua Willis,1,0.6232876712328768,1.0,2.6232876712328768
1826,Counterintelligence,Kelly,Counterintelligence Case - Kelly,2022-08-15,Closed,Los Angeles,2023-07-25,,,Kayla Haley,2,0.636986301369863,0.0,2.636986301369863
286,Counterintelligence,Dale,Counterintelligence Case - Dale,2023-08-11,Closed,Columbus,2024-03-28,2024-10-17,,Dale Johnson,2,0.14246575342465753,0.5,2.6424657534246574
474,Counterintelligence,John,Counterintelligence Case - John,2023-08-10,Closed,Columbus,2024-05-11,2025-02-20,,Katie Becker,2,0.14383561643835616,0.5,2.643835616438356
594,Terrorism,Miguel,Terrorism Case - Miguel,2022-07-28,Closed,New York,2024-01-21,2024-03-12,2024-03-25,Andrew Dawson,1,0.6616438356164384,1.0,2.6616438356164385
183,Counterintelligence,Mason,Counterintelligence Case - Mason,2022-07-21,Closed,San Jose,2022-11-20,,,Mr. Jeremy Mack,2,0.6712328767123288,0.0,2.671232876712329
676,Counterintelligence,Christopher,Counterintelligence Case - Christopher,2023-07-17,Closed,Austin,2023-07-18,2023-11-20,,Alexander Hayden,2,0.17671232876712328,0.5,2.676712328767123
366,Terrorism,Richard,Terrorism Case - Richard,2022-07-14,Closed,San Jose,2022-12-31,2023-05-04,2023-08-07,John Conley,1,0.6808219178082192,1.0,2.680821917808219
1706,Terrorism,Paula,Terrorism Case - Paula,2022-07-09,Closed,Indianapolis,2024-02-22,2024-06-30,2024-08-07,Kimberly Estrada,1,0.6876712328767123,1.0,2.6876712328767125
1493,Counterintelligence,Nathan,Counterintelligence Case - Nathan,2022-07-02,Closed,Charlotte,2024-10-01,,,Ronald Berry,2,0.6972602739726027,0.0,2.697260273972603
826,Counterintelligence,Patrick,Counterintelligence Case - Patrick,2023-06-30,Closed,Dallas,2023-09-07,2024-06-12,,Steven Green,2,0.2,0.5,2.7
762,Counterintelligence,Carrie,Counterintelligence Case - Carrie,2022-06-23,Closed,Charlotte,2024-11-07,,,Joshua Reed,2,0.7095890410958904,0.0,2.7095890410958905
644,Counterintelligence,Ashley,Counterintelligence Case - Ashley,2022-06-22,Closed,Philadelphia,2022-12-31,,,Rebecca Daniels,2,0.7109589041095891,0.0,2.710958904109589
1663,Counterintelligence,Nicole,Counterintelligence Case - Nicole,2023-06-22,Closed,Phoenix,2024-07-21,2025-07-14,,Michael Velasquez,2,0.21095890410958903,0.5,2.710958904109589
