Case ID,Case Type,Parties Involved,Case Title,Filing Date,Case Status,Case Location,Hearing 1 date,Hearing 2 date,Hearing 3 date,Assigned Judge
15,Public Corruption,Jason,Public Corruption Case - Jason,27.11.22,Closed,Charlotte,3.5.24,25.11.24,19.4.25,Nicole Wilson
16,Drug Trafficking,Rhonda,Drug Trafficking Case - Rhonda,14.2.22,Closed,Chicago,24.9.23,,,Rose Lopez
17,Violent Crimes,Rebecca,Violent Crimes Case - Rebecca,26.5.22,Closed,Phoenix,10.8.24,,,Christina Rhodes
18,Cyber Crime,Rachel,Cyber Crime Case - Rachel,24.2.23,Closed,Fort Worth,7.2.24,,,Rebecca Ruiz
19,Terrorism,David,Terrorism Case - David,15.4.22,Closed,Los Angeles,25.6.22,,,Timothy Schwartz
20,Public Corruption,Melissa,Public Corruption Case - Melissa,26.2.23,Closed,Memphis,26.1.24,3.9.24,5.10.24,Charles Brooks
21,Immigration Law Cases,Jackie,Immigration Law Cases Case - Jackie,29.8.23,Closed,Detroit,3.9.23,29.9.23,28.2.24,Dana West
22,Major Thefts,Michael,Major Thefts Case - Michael,10.10.22,Closed,Dallas,3.3.23,,,Kim Miller
23,Terrorism,Christian,Terrorism Case - Christian,21.3.22,Closed,Columbus,16.11.24,4.9.25,17.12.25,John Conley
24,Public Corruption,John,Public Corruption Case - John,26.11.22,Closed,Houston,5.10.24,19.12.24,,Andrew Murray
25,White-Collar Crime,Michele,White-Collar Crime Case - Michele,23.4.22,Closed,Houston,24.10.22,,,Ralph Gentry
26,Immigration Law Cases,Kathleen,Immigration Law Cases Case - Kathleen,14.6.22,Closed,Phoenix,20.9.24,5.5.25,31.10.25,Sara Medina
27,White-Collar Crime,Barbara,White-Collar Crime Case - Barbara,16.12.21,Closed,Las Vegas,17.9.23,5.2.24,18.5.24,Veronica Noble
28,Terrorism,Jean,Terrorism Case - Jean,18.12.22,Closed,Philadelphia,23.5.24,19.12.24,12.2.25,David Jenkins
29,Organized Crime,Sean,Organized Crime Case - Sean,12.12.21,Closed,Fort Worth,4.3.23,,,Katie Becker
30,Immigration Law Cases,Nichole,Immigration Law Cases Case - Nichole,16.12.21,Closed,Indianapolis,30.4.23,6.2.24,17.7.24,Danielle Rodriguez
31,Drug Trafficking,Carla,Drug Trafficking Case - Carla,24.12.21,Closed,San Francisco,16.7.23,,,Robert Nichols
32,Employment Law Disputes,Crystal,Employment Law Disputes Case - Crystal,7.7.23,Closed,San Francisco,19.9.24,4.6.25,21.8.25,Kristen Hughes
33,Employment Law Disputes,Katrina,Employment Law Disputes Case - Katrina,28.8.23,Closed,Detroit,4.1.24,,,Dominic Santiago
34,Violent Crimes,David,Violent Crimes Case - David,29.11.22,Closed,Fort Worth,22.4.23,,,Edward Hunter
35,Counterintelligence,Nathaniel,Counterintelligence Case - Nathaniel,18.9.22,Closed,San Jose,19.9.23,28.2.24,21.3.24,Jocelyn Soto
36,Environmental Law Violations,John,Environmental Law Violations Case - John,31.12.22,Closed,Oklahoma City,30.4.23,27.9.23,24.12.23,Jean Hernandez
37,Civil Rights,Rhonda,Civil Rights Case - Rhonda,15.11.22,Closed,Charlotte,4.5.23,16.12.23,21.4.24,Michael Golden
38,Immigration Law Cases,Richard,Immigration Law Cases Case - Richard,25.10.22,Closed,Charlotte,14.9.24,26.5.25,12.7.25,Jeffrey Bray
39,Public Corruption,Brandi,Public Corruption Case - Brandi,11.9.22,Closed,San Francisco,17.4.24,26.11.24,1.3.25,Ralph Taylor
40,Civil Rights,Emily,Civil Rights Case - Emily,14.6.23,Closed,Detroit,14.9.23,,,Darrell Scott
41,Immigration Law Cases,Eileen,Immigration Law Cases Case - Eileen,3.8.23,Closed,Fort Worth,9.3.24,30.8.24,,Alexandra Fox
42,Major Thefts,Joann,Major Thefts Case - Joann,23.7.23,Closed,Denver,14.7.24,4.2.25,30.7.25,Todd Adams
43,Major Thefts,Ralph,Major Thefts Case - Ralph,1.3.23,Closed,Memphis,7.10.23,28.2.24,,Jessica May MD
44,Securities Fraud,Keith,Securities Fraud Case - Keith,22.7.23,Closed,Chicago,1.6.24,26.12.24,16.6.25,Jocelyn Soto
45,Civil Rights,Blake,Civil Rights Case - Blake,20.7.23,Closed,Memphis,26.10.23,7.1.24,20.6.24,Dustin Nichols
46,Cyber Crime,Lisa,Cyber Crime Case - Lisa,21.11.23,Closed,Fort Worth,20.10.24,,,Joshua Willis
47,Civil Rights,Dana,Civil Rights Case - Dana,27.7.22,Closed,Houston,3.12.22,29.11.23,15.12.23,Brittany Sanders
48,Major Thefts,Alexis,Major Thefts Case - Alexis,17.5.23,Closed,Baltimore,16.11.24,,,Mackenzie West
49,White-Collar Crime,Adam,White-Collar Crime Case - Adam,1.11.22,Closed,San Francisco,1.10.23,30.1.24,28.5.24,Andrew Jones
50,Immigration Law Cases,Sarah,Immigration Law Cases Case - Sarah,25.12.21,Closed,Washington,28.5.22,23.7.22,3.10.22,Mary Adams
51,Drug Trafficking,Ryan,Drug Trafficking Case - Ryan,25.10.22,Closed,Dallas,23.2.23,11.11.23,14.4.24,Jack Moore
52,Counterintelligence,Linda,Counterintelligence Case - Linda,2.1.23,Closed,Oklahoma City,25.4.24,21.12.24,,Brian Flores
53,Environmental Law Violations,Keith,Environmental Law Violations Case - Keith,28.1.22,Closed,Milwaukee,16.3.22,13.5.22,2.8.22,Ralph Gentry
54,Violent Crimes,James,Violent Crimes Case - James,12.5.22,Closed,New York,13.3.24,21.2.25,,Jessica Carpenter
55,Counterintelligence,Lindsay,Counterintelligence Case - Lindsay,9.9.23,Closed,Baltimore,22.10.24,2.11.24,,Natalie Murray
56,Employment Law Disputes,Amanda,Employment Law Disputes Case - Amanda,9.8.22,Closed,San Diego,28.10.23,20.7.24,,Elizabeth Livingston
57,Counterintelligence,Juan,Counterintelligence Case - Juan,23.11.22,Closed,Philadelphia,20.10.23,3.1.24,20.3.24,Jason Peterson
58,Terrorism,Jay,Terrorism Case - Jay,19.3.23,Closed,Jacksonville,30.8.24,14.7.25,4.12.25,Brian Hale
59,Terrorism,Amanda,Terrorism Case - Amanda,11.4.22,Closed,Denver,16.5.22,13.11.22,21.3.23,Adam Smith
60,Drug Trafficking,Michael,Drug Trafficking Case - Michael,22.9.23,Closed,Chicago,14.3.24,19.2.25,5.3.25,Anthony Carey
61,Terrorism,Scott,Terrorism Case - Scott,8.5.22,Closed,Portland,26.5.23,23.10.23,5.1.24,Jean Hernandez
62,Major Thefts,Gerald,Major Thefts Case - Gerald,10.7.22,Closed,Milwaukee,26.10.24,17.3.25,,David Jenkins
63,Major Thefts,Joshua,Major Thefts Case - Joshua,20.1.22,Closed,Denver,1.7.22,28.7.22,11.8.22,Robert Nichols
64,Intellectual Property Violations,Steven,Intellectual Property Violations Case - Steven,18.5.22,Closed,Los Angeles,22.11.22,,,Brittany Mahoney
65,White-Collar Crime,Donald,White-Collar Crime Case - Donald,21.1.23,Closed,Seattle,27.6.23,,,Rebecca Goodwin
66,Terrorism,Heather,Terrorism Case - Heather,6.3.23,Closed,Oklahoma City,26.5.24,,,Amy Crawford
67,Major Thefts,Misty,Major Thefts Case - Misty,11.10.23,Closed,Detroit,2.5.24,24.1.25,,John Smith
68,Intellectual Property Violations,Jeremiah,Intellectual Property Violations Case - Jeremiah,4.10.22,Closed,Fort Worth,26.8.24,28.12.24,,Stephanie Weber
69,Major Thefts,Jennifer,Major Thefts Case - Jennifer,27.8.23,Closed,Houston,22.9.24,4.2.25,4.2.25,Jean Hernandez
70,Drug Trafficking,Amber,Drug Trafficking Case - Amber,18.9.22,Closed,Phoenix,17.11.22,2.6.23,12.8.23,Dawn Barron
71,Counterintelligence,Jesse,Counterintelligence Case - Jesse,8.11.23,Closed,Seattle,19.7.24,,,Steven Gill
72,Immigration Law Cases,Megan,Immigration Law Cases Case - Megan,15.12.22,Closed,San Antonio,1.3.23,28.5.23,,Elizabeth Livingston
73,Immigration Law Cases,Timothy,Immigration Law Cases Case - Timothy,24.1.23,Closed,Portland,2.5.23,18.11.23,1.1.24,Michael Velasquez
74,Intellectual Property Violations,Nicholas,Intellectual Property Violations Case - Nicholas,28.4.22,Closed,Oklahoma City,12.10.24,,,Matthew Marks
75,White-Collar Crime,Steve,White-Collar Crime Case - Steve,15.8.22,Closed,Baltimore,13.5.23,2.7.23,3.10.23,Jessica Carpenter
76,Securities Fraud,Shannon,Securities Fraud Case - Shannon,6.5.23,Closed,Washington,27.1.24,,,Jeremy Simmons
77,Public Corruption,Anthony,Public Corruption Case - Anthony,27.1.23,Closed,Chicago,26.5.23,23.9.23,2.12.23,Mr. Jeremy Mack
78,Civil Rights,Gloria,Civil Rights Case - Gloria,15.1.22,Closed,San Diego,21.2.22,18.9.22,2.3.23,Rebecca Burgess
79,Cyber Crime,Scott,Cyber Crime Case - Scott,20.7.23,Closed,Charlotte,27.7.24,8.1.25,,Robert Adams
80,Immigration Law Cases,Leah,Immigration Law Cases Case - Leah,30.3.23,Closed,Memphis,23.8.23,8.11.23,,Sara Medina
81,Employment Law Disputes,Kristina,Employment Law Disputes Case - Kristina,2.7.22,Closed,Phoenix,7.9.22,2.8.23,,Kelly Lawson
82,Organized Crime,Christine,Organized Crime Case - Christine,21.12.22,Closed,San Antonio,14.3.23,4.10.23,,Frank Lee
83,White-Collar Crime,Cameron,White-Collar Crime Case - Cameron,13.2.22,Closed,Dallas,9.12.23,,,Shirley Martin
84,Civil Rights,Logan,Civil Rights Case - Logan,24.9.22,Closed,Philadelphia,4.12.22,31.8.23,9.10.23,Andrew Morris
85,Civil Rights,Melissa,Civil Rights Case - Melissa,21.12.21,Closed,Columbus,5.10.22,,,Dominic Santiago
86,Public Corruption,Jeffrey,Public Corruption Case - Jeffrey,2.8.23,Closed,Milwaukee,13.11.24,4.1.25,12.6.25,Chad Rich
87,Drug Trafficking,Julie,Drug Trafficking Case - Julie,7.6.23,Closed,New York,16.7.23,18.11.23,21.11.23,Jason Taylor
88,Organized Crime,Aimee,Organized Crime Case - Aimee,27.9.23,Closed,Louisville,20.7.24,,,James Nixon
89,Employment Law Disputes,Christopher,Employment Law Disputes Case - Christopher,15.6.23,Closed,Milwaukee,18.1.24,2.6.24,,Lisa Brown
90,Drug Trafficking,Monica,Drug Trafficking Case - Monica,19.8.23,Closed,Louisville,25.3.24,,,Jack Moore
91,Employment Law Disputes,Bobby,Employment Law Disputes Case - Bobby,1.9.23,Closed,Seattle,26.10.24,,,Gary Brown
92,Violent Crimes,Chad,Violent Crimes Case - Chad,2.9.23,Closed,Boston,21.3.24,,,Jessica Carpenter
93,Major Thefts,James,Major Thefts Case - James,26.6.23,Closed,Fort Worth,11.7.24,31.10.24,9.11.24,Mr. Jason Gross
94,Organized Crime,Patrick,Organized Crime Case - Patrick,1.5.22,Closed,Phoenix,20.6.23,27.3.24,14.7.24,Michael Nichols
95,Public Corruption,Luke,Public Corruption Case - Luke,18.5.22,Closed,Dallas,20.7.24,10.9.24,11.11.24,Lisa Brown
96,Civil Rights,Destiny,Civil Rights Case - Destiny,18.12.22,Closed,Houston,30.10.24,14.9.25,8.10.25,Andrew Dawson
97,Organized Crime,Melissa,Organized Crime Case - Melissa,26.1.22,Closed,San Diego,3.5.23,,,David Harris
98,Employment Law Disputes,Shannon,Employment Law Disputes Case - Shannon,5.1.22,Closed,San Jose,7.9.22,,,Brianna Barr
99,Major Thefts,Angela,Major Thefts Case - Angela,19.6.22,Closed,Columbus,14.7.24,10.8.24,19.12.24,David Jenkins
100,Counterintelligence,Kim,Counterintelligence Case - Kim,24.3.23,Closed,Nashville,3.10.23,,,Anthony Guerra
101,Civil Rights,Katrina,Civil Rights Case - Katrina,20.7.22,Closed,San Antonio,28.3.24,,,Edward Hunter
102,Major Thefts,Grace,Major Thefts Case - Grace,21.11.22,Closed,Memphis,11.3.23,,,Tonya Green
103,Terrorism,Brittany,Terrorism Case - Brittany,4.7.23,Closed,San Jose,5.11.23,15.9.24,3.2.25,Brian Hale
104,Cyber Crime,Jose,Cyber Crime Case - Jose,12.5.23,Closed,San Francisco,27.5.23,29.4.24,,John Pacheco
105,Violent Crimes,Peter,Violent Crimes Case - Peter,27.11.22,Closed,Los Angeles,5.8.24,23.5.25,12.11.25,Cynthia Cisneros
106,Securities Fraud,Vanessa,Securities Fraud Case - Vanessa,21.10.22,Closed,Los Angeles,16.1.24,6.1.25,10.2.25,Michael Golden
107,Civil Rights,Andrea,Civil Rights Case - Andrea,15.3.23,Closed,Houston,4.6.24,,,Jason Peterson
108,Environmental Law Violations,Ashley,Environmental Law Violations Case - Ashley,2.2.22,Closed,Jacksonville,17.8.24,20.3.25,14.5.25,Steven Green
109,Violent Crimes,Michael,Violent Crimes Case - Michael,18.2.22,Closed,Nashville,1.3.22,14.3.22,,Megan Vasquez
110,Major Thefts,Karen,Major Thefts Case - Karen,13.11.23,Closed,Seattle,12.10.24,17.9.25,20.11.25,Alexandra Fox
111,Major Thefts,Shelby,Major Thefts Case - Shelby,26.5.23,Closed,Seattle,30.10.23,13.4.24,13.8.24,Susan Rose
112,Securities Fraud,Jenna,Securities Fraud Case - Jenna,4.2.23,Closed,Detroit,11.6.24,,,Jeremy Smith
113,Environmental Law Violations,Kelly,Environmental Law Violations Case - Kelly,22.2.22,Closed,Charlotte,10.10.23,7.2.24,25.3.24,Todd Adams
114,Major Thefts,Brenda,Major Thefts Case - Brenda,14.12.22,Closed,Milwaukee,19.12.22,22.5.23,25.6.23,Kayla Haley
115,Immigration Law Cases,Paul,Immigration Law Cases Case - Paul,4.2.22,Closed,San Jose,14.8.22,,,Jean Hernandez
116,Public Corruption,Rebecca,Public Corruption Case - Rebecca,5.7.22,Closed,Chicago,2.9.22,,,Christina Ortega
117,Major Thefts,Connie,Major Thefts Case - Connie,18.6.22,Closed,Oklahoma City,14.11.22,,,Jason Taylor
118,Immigration Law Cases,Lorraine,Immigration Law Cases Case - Lorraine,20.11.23,Closed,Boston,26.5.24,31.8.24,21.12.24,Brian Hale
119,Major Thefts,Jeremy,Major Thefts Case - Jeremy,29.5.22,Closed,Nashville,4.7.23,11.10.23,27.11.23,Keith Stevenson III
120,Cyber Crime,Matthew,Cyber Crime Case - Matthew,12.3.22,Closed,Los Angeles,4.7.22,,,Christina Williams
121,Immigration Law Cases,Katherine,Immigration Law Cases Case - Katherine,28.6.23,Closed,Indianapolis,1.4.24,3.3.25,8.8.25,Albert Brennan
122,Intellectual Property Violations,Jaime,Intellectual Property Violations Case - Jaime,11.1.23,Closed,Washington,21.9.24,21.6.25,10.12.25,Ricky Keller
123,Organized Crime,Travis,Organized Crime Case - Travis,28.1.23,Closed,Phoenix,23.2.23,17.7.23,4.9.23,Anthony Vaughn
124,Drug Trafficking,Steven,Drug Trafficking Case - Steven,2.4.22,Closed,Indianapolis,28.8.24,25.10.24,6.12.24,Steven Green
125,Environmental Law Violations,Ian,Environmental Law Violations Case - Ian,12.7.23,Closed,San Diego,28.7.23,,,Anthony Vaughn
126,Organized Crime,Barbara,Organized Crime Case - Barbara,27.3.22,Closed,Phoenix,3.6.23,24.10.23,,Tracy Rice
127,Counterintelligence,Misty,Counterintelligence Case - Misty,28.5.23,Closed,San Diego,23.8.23,4.2.24,27.4.24,Nathan Levine
128,Organized Crime,Gregory,Organized Crime Case - Gregory,1.10.23,Closed,Dallas,19.2.24,11.9.24,22.12.24,Joyce Gill
129,Securities Fraud,Christina,Securities Fraud Case - Christina,21.11.23,Closed,Charlotte,10.6.24,,,David Harris
130,Intellectual Property Violations,George,Intellectual Property Violations Case - George,23.1.23,Closed,Denver,1.1.24,16.9.24,7.3.25,Charles Horne
131,Intellectual Property Violations,Marie,Intellectual Property Violations Case - Marie,20.3.22,Closed,Charlotte,10.5.24,1.12.24,1.3.25,Veronica Noble
132,Counterintelligence,Spencer,Counterintelligence Case - Spencer,21.1.22,Closed,Baltimore,25.1.23,,,Danielle Rodriguez
133,Organized Crime,George,Organized Crime Case - George,27.5.22,Closed,Las Vegas,1.11.24,28.7.25,30.8.25,Michael Nichols
134,Environmental Law Violations,Kevin,Environmental Law Violations Case - Kevin,9.2.23,Closed,New York,20.6.23,31.5.24,,Leslie Chan
135,Employment Law Disputes,Joseph,Employment Law Disputes Case - Joseph,11.7.22,Closed,Memphis,5.9.22,20.12.22,14.4.23,David Stanley
136,Cyber Crime,Lauren,Cyber Crime Case - Lauren,29.8.23,Closed,Jacksonville,18.10.23,4.10.24,9.3.25,Cory Martinez
137,Public Corruption,Steven,Public Corruption Case - Steven,16.4.22,Closed,San Antonio,30.10.22,17.4.23,10.6.23,Sarah Wyatt
138,Drug Trafficking,David,Drug Trafficking Case - David,8.2.22,Closed,Memphis,23.7.22,22.1.23,,Jack Moore
139,Major Thefts,Christopher,Major Thefts Case - Christopher,14.1.23,Closed,Jacksonville,21.6.24,17.4.25,20.5.25,Michael Nichols
140,Intellectual Property Violations,Jared,Intellectual Property Violations Case - Jared,6.8.22,Closed,Phoenix,30.6.23,20.1.24,,Steven Hernandez DDS
141,Securities Fraud,Nathan,Securities Fraud Case - Nathan,27.10.22,Closed,New York,24.2.23,2.8.23,14.11.23,Amanda Roberts
142,Environmental Law Violations,William,Environmental Law Violations Case - William,25.11.21,Closed,Baltimore,19.8.22,4.11.22,,Michael Velasquez
143,Terrorism,Jerry,Terrorism Case - Jerry,5.8.22,Closed,Houston,6.6.23,8.8.23,,Angela Williams
144,Cyber Crime,Roger,Cyber Crime Case - Roger,1.1.22,Closed,Columbus,23.8.23,29.5.24,15.7.24,Samantha Collins
145,Terrorism,James,Terrorism Case - James,4.10.23,Closed,Houston,28.2.24,12.10.24,28.12.24,Robert Nichols
146,Organized Crime,Derrick,Organized Crime Case - Derrick,12.5.23,Closed,Indianapolis,16.11.23,,,Austin Santos
147,Major Thefts,Brenda,Major Thefts Case - Brenda,18.10.23,Closed,Fort Worth,25.2.24,8.4.24,6.6.24,Laura Ortiz
148,Environmental Law Violations,Lawrence,Environmental Law Violations Case - Lawrence,10.4.22,Closed,Seattle,24.2.24,16.12.24,,Morgan Gonzalez DVM
149,Civil Rights,Desiree,Civil Rights Case - Desiree,7.1.23,Closed,Columbus,6.9.24,,,Albert Allen
150,Organized Crime,Christina,Organized Crime Case - Christina,6.11.22,Closed,San Diego,28.10.23,,,Stephen King
151,Employment Law Disputes,Sara,Employment Law Disputes Case - Sara,28.7.22,Closed,Portland,8.8.24,7.4.25,,Desiree Neal
152,Immigration Law Cases,Brianna,Immigration Law Cases Case - Brianna,30.7.22,Closed,San Antonio,2.11.22,,,Philip Alvarado
153,Violent Crimes,Barbara,Violent Crimes Case - Barbara,13.1.23,Closed,Oklahoma City,19.6.24,4.3.25,30.3.25,Angel Buchanan
154,Counterintelligence,Thomas,Counterintelligence Case - Thomas,30.8.23,Closed,Louisville,25.8.24,,,Angel Lee
155,Securities Fraud,Craig,Securities Fraud Case - Craig,18.12.22,Closed,Seattle,2.8.23,3.11.23,,William Powell
156,Public Corruption,Rebecca,Public Corruption Case - Rebecca,26.2.23,Closed,Louisville,11.5.23,21.9.23,9.10.23,Antonio Taylor
157,Organized Crime,Patrick,Organized Crime Case - Patrick,8.6.22,Closed,Boston,2.1.24,5.5.24,21.5.24,Robin Butler
158,Immigration Law Cases,Nicholas,Immigration Law Cases Case - Nicholas,31.10.22,Closed,Detroit,14.1.24,,,Justin Greene
159,Cyber Crime,Tiffany,Cyber Crime Case - Tiffany,5.4.22,Closed,San Jose,5.3.23,12.6.23,10.9.23,Michael Lynch
160,White-Collar Crime,Katherine,White-Collar Crime Case - Katherine,9.10.23,Closed,Baltimore,30.4.24,,,Andrew Murray
161,Major Thefts,Andrew,Major Thefts Case - Andrew,12.4.22,Closed,Louisville,9.7.22,19.2.23,5.7.23,Stephanie Weber
162,Terrorism,Joseph,Terrorism Case - Joseph,27.4.23,Closed,Washington,31.3.24,8.6.24,15.11.24,Joshua Reed
163,Organized Crime,Nathan,Organized Crime Case - Nathan,8.11.22,Closed,Nashville,3.6.24,17.9.24,2.10.24,John Conley
164,Civil Rights,Caitlyn,Civil Rights Case - Caitlyn,22.11.22,Closed,Charlotte,19.9.24,28.12.24,,Michael Leonard
165,Securities Fraud,Lance,Securities Fraud Case - Lance,14.3.23,Closed,Milwaukee,22.1.24,,,Katie Myers
166,Violent Crimes,Andrew,Violent Crimes Case - Andrew,8.9.22,Closed,Las Vegas,18.1.23,24.5.23,12.6.23,Jessica Carpenter
167,Drug Trafficking,Nicholas,Drug Trafficking Case - Nicholas,13.4.23,Closed,Houston,11.11.23,7.2.24,12.6.24,Sara Medina
168,Public Corruption,Tamara,Public Corruption Case - Tamara,4.9.23,Closed,Denver,17.12.23,,,Manuel Carr
169,Civil Rights,Tina,Civil Rights Case - Tina,20.5.22,Closed,Seattle,4.8.24,25.4.25,22.10.25,Robert Nichols
170,White-Collar Crime,Jermaine,White-Collar Crime Case - Jermaine,17.12.22,Closed,San Jose,14.10.24,18.12.24,29.5.25,Russell Perez
171,Environmental Law Violations,Steve,Environmental Law Violations Case - Steve,25.8.22,Closed,Indianapolis,6.4.24,3.3.25,19.5.25,Michael Velasquez
172,Immigration Law Cases,Andrea,Immigration Law Cases Case - Andrea,4.5.22,Closed,Denver,23.3.24,,,Bridget Gonzalez
173,Intellectual Property Violations,Victor,Intellectual Property Violations Case - Victor,24.7.23,Closed,Milwaukee,20.2.24,18.8.24,,Grant Cooley
174,White-Collar Crime,Mitchell,White-Collar Crime Case - Mitchell,7.5.23,Closed,Nashville,5.11.24,,,Steven Hernandez
175,Cyber Crime,Patrick,Cyber Crime Case - Patrick,7.7.23,Closed,Austin,10.11.24,,,Derrick Jacobs
176,Public Corruption,Andrea,Public Corruption Case - Andrea,5.2.22,Closed,Memphis,1.4.23,,,Mackenzie West
177,Cyber Crime,Elaine,Cyber Crime Case - Elaine,25.7.23,Closed,Seattle,1.6.24,17.3.25,6.4.25,Charles Cain
178,Securities Fraud,Michael,Securities Fraud Case - Michael,10.8.23,Closed,Oklahoma City,21.6.24,21.7.24,,Amy Schmidt
179,Intellectual Property Violations,Sandra,Intellectual Property Violations Case - Sandra,3.12.21,Closed,Boston,22.5.22,31.1.23,14.7.23,Richard Jackson
180,Immigration Law Cases,Steven,Immigration Law Cases Case - Steven,27.6.22,Closed,Phoenix,23.8.23,,,Jocelyn Soto
181,Employment Law Disputes,Lauren,Employment Law Disputes Case - Lauren,16.10.23,Closed,San Antonio,24.3.24,27.6.24,20.10.24,Misty Young
182,Organized Crime,Charlotte,Organized Crime Case - Charlotte,10.7.23,Closed,Denver,15.7.23,10.4.24,19.8.24,Christina Rhodes
183,Counterintelligence,Mason,Counterintelligence Case - Mason,21.7.22,Closed,San Jose,20.11.22,,,Mr. Jeremy Mack
184,Civil Rights,Gregory,Civil Rights Case - Gregory,17.3.22,Closed,Dallas,25.10.23,17.12.23,12.6.24,Debra Carter
185,Drug Trafficking,Zachary,Drug Trafficking Case - Zachary,26.10.23,Closed,Detroit,4.9.24,7.7.25,7.10.25,Joshua Reed
186,Civil Rights,Charles,Civil Rights Case - Charles,20.10.23,Closed,Jacksonville,8.4.24,29.3.25,14.9.25,Albert Rivera
187,Employment Law Disputes,Joshua,Employment Law Disputes Case - Joshua,13.5.22,Closed,San Jose,18.10.23,4.4.24,,Janet Flores
188,Terrorism,Danielle,Terrorism Case - Danielle,18.11.23,Closed,Austin,20.12.23,13.5.24,,Lindsay Perez
189,Counterintelligence,Samantha,Counterintelligence Case - Samantha,7.8.23,Closed,Las Vegas,19.9.24,,,Andrew Murray
190,White-Collar Crime,Amanda,White-Collar Crime Case - Amanda,21.1.23,Closed,Fort Worth,21.7.24,4.3.25,,Scott Warren
191,Drug Trafficking,Ronnie,Drug Trafficking Case - Ronnie,26.12.22,Closed,Phoenix,22.11.24,15.2.25,,Michael Montgomery
192,Environmental Law Violations,Jose,Environmental Law Violations Case - Jose,4.12.22,Closed,Memphis,9.5.24,1.10.24,,Kelly Lawson
193,Drug Trafficking,Matthew,Drug Trafficking Case - Matthew,25.9.23,Closed,Phoenix,26.8.24,12.12.24,22.12.24,Elizabeth Livingston
194,Intellectual Property Violations,Joseph,Intellectual Property Violations Case - Joseph,17.2.23,Closed,Columbus,7.3.23,,,Nancy Hill
195,Intellectual Property Violations,Michael,Intellectual Property Violations Case - Michael,21.6.23,Closed,Houston,29.1.24,1.3.24,,Justin Sweeney
196,Drug Trafficking,Frank,Drug Trafficking Case - Frank,19.12.22,Closed,Dallas,4.10.23,22.9.24,22.2.25,Craig Edwards
197,Drug Trafficking,Danny,Drug Trafficking Case - Danny,26.1.22,Closed,Philadelphia,24.2.22,10.4.22,8.7.22,Lynn Walls
198,Organized Crime,Deborah,Organized Crime Case - Deborah,4.3.22,Closed,Portland,21.11.24,26.5.25,,Angela Williams
199,White-Collar Crime,Joshua,White-Collar Crime Case - Joshua,27.4.23,Closed,Boston,5.6.23,13.5.24,,Melissa Middleton
200,Intellectual Property Violations,Robert,Intellectual Property Violations Case - Robert,11.5.23,Closed,Phoenix,23.8.23,,,Craig Edwards
201,Organized Crime,Lisa,Organized Crime Case - Lisa,3.9.22,Closed,Milwaukee,25.10.22,14.5.23,,Andrew Dawson
202,Major Thefts,Allison,Major Thefts Case - Allison,5.1.23,Closed,Charlotte,13.2.24,6.10.24,21.2.25,Debra White
203,Securities Fraud,Gabriella,Securities Fraud Case - Gabriella,31.7.22,Closed,San Antonio,24.1.23,,,Daniel Vega
204,Intellectual Property Violations,Gregory,Intellectual Property Violations Case - Gregory,12.12.22,Closed,San Jose,19.6.23,20.1.24,5.2.24,Michael Golden
205,Drug Trafficking,Leslie,Drug Trafficking Case - Leslie,8.5.23,Closed,Denver,22.5.24,,,Tracy Rice
