Case ID,Case Type,Parties Involved,Case Title,Filing Date,Case Status,Case Location,Hearing 1 date,Hearing 2 date,Hearing 3 date,Assigned Judge
83,Drug Trafficking,Sandy,Drug Trafficking Case - Sandy,1.9.23,Pending,Boston,17.9.24,20.1.25,26.5.25,Michelle Nelson
84,Organized Crime,Christine,Organized Crime Case - Christine,27.10.22,Pending,Fort Worth,26.5.24,,,Jacob Hall
85,Terrorism,Scott,Terrorism Case - Scott,11.9.23,Pending,Charlotte,18.9.23,1.9.24,22.1.25,Amy Ramirez
86,Terrorism,Laura,Terrorism Case - Laura,24.12.21,Pending,Indianapolis,5.5.24,25.6.24,,Samantha Sanders
87,Drug Trafficking,Brian,Drug Trafficking Case - Brian,29.3.22,Pending,Charlotte,10.12.23,24.7.24,13.10.24,Rebecca Conley
88,Securities Fraud,Levi,Securities Fraud Case - Levi,9.1.23,Pending,Memphis,23.11.23,,,Bailey Foster
89,Cyber Crime,Michelle,Cyber Crime Case - Michelle,28.4.23,Pending,Memphis,4.8.24,,,Melanie Bell
90,Intellectual Property Violations,Elizabeth,Intellectual Property Violations Case - Elizabeth,19.3.22,Pending,Houston,12.2.23,28.4.23,4.9.23,Kelsey Lopez
91,Employment Law Disputes,Kayla,Employment Law Disputes Case - Kayla,26.8.23,Pending,Philadelphia,3.4.24,28.6.24,12.12.24,Justin Rogers
92,Cyber Crime,William,Cyber Crime Case - William,16.10.22,Pending,Philadelphia,2.4.23,20.8.23,12.1.24,Henry Williams
93,Cyber Crime,Brenda,Cyber Crime Case - Brenda,19.2.22,Pending,Phoenix,28.9.23,17.12.23,,Joy Cole
94,White-Collar Crime,Angela,White-Collar Crime Case - Angela,11.12.22,Pending,Columbus,27.1.24,9.12.24,,Alexander Allen
95,Terrorism,Michael,Terrorism Case - Michael,8.5.22,Pending,Las Vegas,13.2.24,22.4.24,2.10.24,Alicia Tucker
96,Public Corruption,Daniel,Public Corruption Case - Daniel,2.11.23,Pending,San Diego,17.8.24,18.2.25,21.2.25,Eric Murray
97,Environmental Law Violations,Jasmine,Environmental Law Violations Case - Jasmine,24.7.23,Pending,Washington,24.10.23,20.5.24,,Andrea Casey
98,Public Corruption,Amber,Public Corruption Case - Amber,9.10.23,Pending,Seattle,15.11.24,,,Matthew Hall
99,Immigration Law Cases,Lisa,Immigration Law Cases Case - Lisa,6.1.22,Pending,Los Angeles,23.4.23,,,Lisa Parker
100,White-Collar Crime,Austin,White-Collar Crime Case - Austin,9.6.22,Pending,Phoenix,15.6.22,4.5.23,9.5.23,Lynn Snyder
101,Public Corruption,Laura,Public Corruption Case - Laura,15.10.22,Pending,Dallas,29.6.23,6.10.23,14.10.23,Ms. Miranda Reed
102,White-Collar Crime,Norman,White-Collar Crime Case - Norman,9.3.22,Pending,Phoenix,12.7.24,21.4.25,16.10.25,Carrie Miller
103,Employment Law Disputes,Ashlee,Employment Law Disputes Case - Ashlee,17.2.23,Pending,Chicago,23.3.23,1.9.23,20.11.23,Darrell Jefferson
104,Counterintelligence,Jesse,Counterintelligence Case - Jesse,19.6.23,Pending,Columbus,28.1.24,29.7.24,24.10.24,Amy Gallegos
105,Intellectual Property Violations,Elizabeth,Intellectual Property Violations Case - Elizabeth,8.5.22,Pending,Boston,30.12.22,24.5.23,31.10.23,Travis Mack
106,Immigration Law Cases,Hailey,Immigration Law Cases Case - Hailey,2.9.22,Pending,Austin,28.1.24,25.11.24,14.12.24,Jill Johnson
107,Civil Rights,Anthony,Civil Rights Case - Anthony,26.9.23,Pending,Indianapolis,16.10.24,21.11.24,21.2.25,Kelsey Lopez
108,Intellectual Property Violations,Brian,Intellectual Property Violations Case - Brian,13.4.23,Pending,San Francisco,27.10.23,,,Rebecca Phillips
109,Cyber Crime,Jordan,Cyber Crime Case - Jordan,13.4.23,Pending,Milwaukee,30.7.24,26.7.25,,Donald Bright
110,Civil Rights,Jennifer,Civil Rights Case - Jennifer,11.8.23,Pending,San Francisco,17.9.23,24.2.24,,Mr. Michael Lewis PhD
111,Public Corruption,Charles,Public Corruption Case - Charles,27.2.22,Pending,Denver,18.11.22,17.7.23,7.10.23,David Turner
112,Employment Law Disputes,Michael,Employment Law Disputes Case - Michael,19.3.23,Pending,Austin,19.4.23,11.8.23,31.1.24,Amy Bell
113,Cyber Crime,Eric,Cyber Crime Case - Eric,29.9.23,Pending,Oklahoma City,7.10.24,,,Jessica Livingston
114,Securities Fraud,Steven,Securities Fraud Case - Steven,16.11.22,Pending,Houston,3.11.23,22.12.23,21.4.24,Michael Allen
115,White-Collar Crime,Jennifer,White-Collar Crime Case - Jennifer,16.4.23,Pending,Seattle,27.3.24,,,Matthew Hall
116,Organized Crime,Alyssa,Organized Crime Case - Alyssa,27.9.23,Pending,San Antonio,4.6.24,10.7.24,,Brian Doyle
117,Organized Crime,Steven,Organized Crime Case - Steven,1.10.23,Pending,Portland,4.11.23,,,Melinda Fields
118,Terrorism,Stacy,Terrorism Case - Stacy,23.3.23,Pending,Philadelphia,6.11.24,,,Katherine Hancock
119,Environmental Law Violations,George,Environmental Law Violations Case - George,14.7.23,Pending,Detroit,3.10.23,19.6.24,,Malik Sherman
120,Intellectual Property Violations,Jason,Intellectual Property Violations Case - Jason,3.4.22,Pending,New York,15.5.22,6.8.22,,Jennifer Sanchez
121,Counterintelligence,Donna,Counterintelligence Case - Donna,15.1.23,Pending,Detroit,15.11.24,2.3.25,,Carrie Miller
122,Immigration Law Cases,Adam,Immigration Law Cases Case - Adam,6.10.22,Pending,Indianapolis,23.5.23,,,Mark Miller
123,Public Corruption,Joshua,Public Corruption Case - Joshua,4.12.21,Pending,Columbus,30.7.22,13.10.22,3.2.23,Amy Bell
124,Drug Trafficking,Veronica,Drug Trafficking Case - Veronica,24.7.22,Pending,Milwaukee,9.11.23,,,Frank Huerta
125,Employment Law Disputes,Katelyn,Employment Law Disputes Case - Katelyn,6.1.23,Pending,Nashville,15.2.23,15.1.24,24.4.24,Ashley Fletcher
126,Civil Rights,James,Civil Rights Case - James,2.2.23,Pending,Boston,30.10.24,8.5.25,,Jamie Miller
127,Intellectual Property Violations,Lisa,Intellectual Property Violations Case - Lisa,20.3.23,Pending,Philadelphia,15.11.24,8.9.25,24.9.25,Gregory Sanchez
128,Organized Crime,Matthew,Organized Crime Case - Matthew,13.6.22,Pending,Seattle,4.6.23,,,Jacob Hall
129,Counterintelligence,Brandon,Counterintelligence Case - Brandon,31.12.21,Pending,New York,31.12.23,29.6.24,,Alexander Allen
130,Environmental Law Violations,Ian,Environmental Law Violations Case - Ian,1.10.23,Pending,Dallas,21.11.24,17.9.25,1.3.26,Dorothy Smith
131,Civil Rights,Kyle,Civil Rights Case - Kyle,28.10.22,Pending,San Antonio,19.8.23,,,Samantha Kelly
132,Counterintelligence,Eric,Counterintelligence Case - Eric,20.11.23,Pending,Indianapolis,29.1.24,,,Mr. Stephen Price
133,Cyber Crime,Tara,Cyber Crime Case - Tara,2.3.22,Pending,Indianapolis,28.10.24,3.2.25,4.2.25,Sara Green
134,Immigration Law Cases,Alan,Immigration Law Cases Case - Alan,26.8.23,Pending,Las Vegas,11.9.24,,,Alice Bradley
135,Public Corruption,Jamie,Public Corruption Case - Jamie,3.3.22,Pending,Philadelphia,22.4.22,30.12.22,6.5.23,Thomas Morgan
136,Major Thefts,Darryl,Major Thefts Case - Darryl,17.1.23,Pending,Dallas,31.3.23,28.1.24,17.6.24,Ashley Le
137,Drug Trafficking,Sandra,Drug Trafficking Case - Sandra,2.8.23,Pending,Las Vegas,2.9.24,8.7.25,1.11.25,Sean Perkins
138,Violent Crimes,Chase,Violent Crimes Case - Chase,24.9.23,Pending,Houston,3.2.24,,,Alice Bradley
139,Securities Fraud,Kayla,Securities Fraud Case - Kayla,18.4.23,Pending,Charlotte,16.10.23,5.2.24,2.4.24,Andrew Salazar
140,Terrorism,Robert,Terrorism Case - Robert,25.9.23,Pending,Seattle,13.5.24,16.8.24,22.1.25,Amy Bell
141,Drug Trafficking,Meredith,Drug Trafficking Case - Meredith,10.12.21,Pending,Indianapolis,10.5.22,,,Cynthia Harris
142,White-Collar Crime,Daniel,White-Collar Crime Case - Daniel,13.8.23,Pending,Denver,18.2.24,23.11.24,,Cameron Peterson
143,Violent Crimes,Lisa,Violent Crimes Case - Lisa,4.3.23,Pending,Chicago,21.10.24,,,Jamie Miller
144,Public Corruption,Christopher,Public Corruption Case - Christopher,20.8.23,Pending,Chicago,26.8.24,27.4.25,,Brian Flores
145,Public Corruption,Matthew,Public Corruption Case - Matthew,17.8.23,Pending,New York,22.9.23,,,David Ford
146,Cyber Crime,Jeffrey,Cyber Crime Case - Jeffrey,6.12.21,Pending,Nashville,12.8.23,30.10.23,10.1.24,Henry Keith
147,White-Collar Crime,Charles,White-Collar Crime Case - Charles,6.6.23,Pending,Denver,30.12.23,,,Mary Rowland
148,Public Corruption,Kerry,Public Corruption Case - Kerry,14.6.22,Pending,Chicago,28.1.23,30.3.23,22.5.23,Jennifer Rodriguez
149,Civil Rights,Joshua,Civil Rights Case - Joshua,9.11.23,Pending,Memphis,10.11.23,10.11.23,,Tammy Mendoza
150,Immigration Law Cases,John,Immigration Law Cases Case - John,13.2.22,Pending,Las Vegas,8.12.23,,,Mrs. Cynthia Garcia
151,Major Thefts,Nicole,Major Thefts Case - Nicole,5.10.23,Pending,San Diego,28.11.23,23.12.23,28.3.24,Cameron Fields
152,Counterintelligence,Melissa,Counterintelligence Case - Melissa,25.10.23,Pending,Austin,22.12.23,,,Henry Williams
153,Drug Trafficking,Mark,Drug Trafficking Case - Mark,12.10.22,Pending,Phoenix,25.4.24,,,Sean Perkins
154,White-Collar Crime,Ashley,White-Collar Crime Case - Ashley,25.6.23,Pending,Baltimore,18.12.23,8.2.24,24.5.24,Darrell Jefferson
155,Employment Law Disputes,Elijah,Employment Law Disputes Case - Elijah,14.5.23,Pending,Nashville,12.7.23,,,Karla Moore
156,Immigration Law Cases,Taylor,Immigration Law Cases Case - Taylor,13.3.22,Pending,San Jose,30.1.23,,,Mrs. Cynthia Garcia
157,Terrorism,Adam,Terrorism Case - Adam,27.3.22,Pending,Louisville,15.7.22,10.3.23,11.7.23,Whitney King
158,Counterintelligence,Chloe,Counterintelligence Case - Chloe,25.3.22,Pending,Milwaukee,20.5.23,23.3.24,3.7.24,Eric Murphy
159,Organized Crime,Kyle,Organized Crime Case - Kyle,8.11.22,Pending,Portland,8.10.23,21.4.24,,Carrie Miller
160,White-Collar Crime,Mitchell,White-Collar Crime Case - Mitchell,21.7.22,Pending,Phoenix,26.9.23,23.4.24,28.6.24,Alicia Johnson
161,Major Thefts,Ann,Major Thefts Case - Ann,19.12.22,Pending,Houston,6.10.24,,,Lisa Barry
162,White-Collar Crime,Robert,White-Collar Crime Case - Robert,20.4.22,Pending,Phoenix,3.9.24,28.12.24,10.4.25,Mary Walters
163,Drug Trafficking,Heather,Drug Trafficking Case - Heather,29.8.22,Pending,Columbus,20.10.24,23.12.24,7.4.25,Lisa Bray
164,Organized Crime,Lindsey,Organized Crime Case - Lindsey,4.10.23,Pending,Seattle,4.2.24,20.11.24,18.4.25,Charles Johnson
165,Counterintelligence,Emily,Counterintelligence Case - Emily,17.5.22,Pending,Nashville,20.11.22,3.5.23,15.8.23,Michele Jackson
166,Cyber Crime,Maria,Cyber Crime Case - Maria,28.10.22,Pending,New York,8.2.24,,,Mary Walters
167,Violent Crimes,Erika,Violent Crimes Case - Erika,13.3.22,Pending,Milwaukee,31.10.24,2.4.25,,Melanie Fischer
168,White-Collar Crime,Veronica,White-Collar Crime Case - Veronica,11.1.23,Pending,Dallas,29.5.24,,,Christopher Johnston
169,Environmental Law Violations,Pamela,Environmental Law Violations Case - Pamela,6.1.22,Pending,Columbus,28.7.23,,,Shane Yang
170,Counterintelligence,Todd,Counterintelligence Case - Todd,31.1.23,Pending,Jacksonville,23.4.24,27.5.24,27.7.24,Sarah Jones
171,Violent Crimes,George,Violent Crimes Case - George,19.4.22,Pending,Milwaukee,20.8.23,15.3.24,,Charlotte Coleman
172,Public Corruption,Samantha,Public Corruption Case - Samantha,4.4.23,Pending,Fort Worth,12.10.23,20.4.24,4.9.24,Alexandra Rodriguez
173,Civil Rights,Becky,Civil Rights Case - Becky,1.11.22,Pending,Baltimore,20.6.24,5.10.24,3.4.25,Nathaniel Walton
174,Organized Crime,Sharon,Organized Crime Case - Sharon,9.6.23,Pending,Louisville,2.12.23,29.9.24,13.10.24,Daniel Cooper
175,Major Thefts,Amy,Major Thefts Case - Amy,26.5.23,Pending,Dallas,16.11.24,1.9.25,3.2.26,Carla Smith
176,Terrorism,Sara,Terrorism Case - Sara,6.11.23,Pending,Las Vegas,24.9.24,3.12.24,12.12.24,Jason Gross
177,Cyber Crime,Renee,Cyber Crime Case - Renee,18.3.22,Pending,Memphis,15.4.24,9.12.24,,Mr. Cameron Hopkins
178,Immigration Law Cases,Hector,Immigration Law Cases Case - Hector,4.7.23,Pending,New York,25.11.23,26.6.24,6.8.24,Brian Doyle
179,White-Collar Crime,Glenn,White-Collar Crime Case - Glenn,30.6.23,Pending,Memphis,5.11.23,6.12.23,25.3.24,Michelle Reynolds
180,Drug Trafficking,Brandon,Drug Trafficking Case - Brandon,5.11.23,Pending,Las Vegas,31.3.24,,,Vanessa Pittman
181,Public Corruption,Tiffany,Public Corruption Case - Tiffany,18.10.23,Pending,Baltimore,17.2.24,12.8.24,22.8.24,Alexander Allen
182,Securities Fraud,Yesenia,Securities Fraud Case - Yesenia,4.9.22,Pending,Portland,25.12.22,29.9.23,30.10.23,Kevin Skinner
183,Employment Law Disputes,Rachel,Employment Law Disputes Case - Rachel,28.7.23,Pending,Denver,9.8.24,14.7.25,8.10.25,Daniel Cooper
184,Intellectual Property Violations,Gary,Intellectual Property Violations Case - Gary,4.9.23,Pending,San Diego,28.11.23,,,Stephanie Waters
185,Major Thefts,Allison,Major Thefts Case - Allison,21.7.22,Pending,San Francisco,10.7.23,10.4.24,8.9.24,David Henson
186,Public Corruption,Scott,Public Corruption Case - Scott,4.10.22,Pending,Columbus,15.9.24,4.11.24,10.3.25,Christopher Johnston
187,Violent Crimes,Alyssa,Violent Crimes Case - Alyssa,26.3.22,Pending,Austin,4.10.23,25.11.23,,Melinda Fields
188,Public Corruption,Kevin,Public Corruption Case - Kevin,20.9.23,Pending,Charlotte,18.10.23,5.10.24,,Jacqueline Cook DDS
189,Employment Law Disputes,Natalie,Employment Law Disputes Case - Natalie,16.3.23,Pending,San Antonio,7.5.24,8.1.25,,Ms. Miranda Reed
190,Violent Crimes,Harold,Violent Crimes Case - Harold,17.2.23,Pending,Oklahoma City,15.9.24,13.8.25,8.10.25,Zachary Hendrix
191,Violent Crimes,Sherry,Violent Crimes Case - Sherry,15.4.22,Pending,Charlotte,7.8.23,19.2.24,25.6.24,Ellen Brown
192,Cyber Crime,Patrick,Cyber Crime Case - Patrick,20.5.23,Pending,Washington,10.6.23,7.10.23,27.3.24,Kimberly Jordan
193,Counterintelligence,Pamela,Counterintelligence Case - Pamela,14.6.23,Pending,Denver,9.6.24,16.6.24,22.11.24,Ronald Bright
194,Civil Rights,Amber,Civil Rights Case - Amber,4.9.22,Pending,Detroit,27.10.23,,,Elizabeth Peterson
195,Drug Trafficking,John,Drug Trafficking Case - John,5.7.23,Pending,San Francisco,12.8.23,24.9.23,26.2.24,Melissa Murillo
196,Major Thefts,Scott,Major Thefts Case - Scott,15.2.23,Pending,Louisville,13.6.23,22.12.23,25.3.24,Lauren Collins
197,Securities Fraud,Nancy,Securities Fraud Case - Nancy,21.7.23,Pending,Los Angeles,28.3.24,11.1.25,19.1.25,David Weaver
198,Employment Law Disputes,Denise,Employment Law Disputes Case - Denise,6.5.22,Pending,Philadelphia,20.5.23,,,Nicholas White
199,Intellectual Property Violations,Nicholas,Intellectual Property Violations Case - Nicholas,17.10.22,Pending,Seattle,7.10.24,,,Sarah Jones
200,Counterintelligence,Kelly,Counterintelligence Case - Kelly,31.10.22,Pending,Las Vegas,10.2.23,28.4.23,1.7.23,Nicholas Ross
201,Organized Crime,Nicholas,Organized Crime Case - Nicholas,12.9.23,Pending,San Antonio,20.11.24,14.11.25,5.1.26,Ellen Brown
